期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2005M03,87,0.00,"21,701",-0.89,73.75,-,0,-13.10,61,-1.61,"18,705",-0.38,75.42,-,0,-14.13,26,4.00,"2,996",-3.97,63.89,-,0,-7.75
2005M04,87,0.00,"21,700",-0.89,70.55,-,0,-12.42,61,-1.61,"18,705",-0.37,71.65,-,0,-13.23,26,4.00,"2,995",-4.01,64.02,-,0,-7.80
2005M05,88,1.15,"21,898",0.76,72.45,-,0,-13.62,62,0.00,"18,903",0.72,73.78,-,0,-15.39,26,4.00,"2,995",0.98,64.48,-,0,-4.32
2005M06,88,1.15,"21,898",1.72,75.43,-,0,-10.78,62,1.64,"18,903",2.17,76.68,-,0,-11.62,26,0.00,"2,995",-1.02,67.93,-,0,-6.79
2005M07,88,2.33,"21,898",2.29,71.98,-,0,-3.78,62,3.33,"18,903",2.84,73.02,-,0,-5.18,26,0.00,"2,995",-1.02,65.63,-,0,5.35
2005M08,88,2.33,"21,898",2.29,70.36,-,0,-4.39,62,3.33,"18,903",2.84,71.27,-,0,-5.18,26,0.00,"2,995",-1.02,64.87,-,0,0.09
2005M09,88,2.33,"21,898",2.21,69.15,-,0,-0.35,62,3.33,"18,903",2.74,70.31,-,0,-0.62,26,0.00,"2,995",-1.02,62.10,-,0,-0.15
2005M10,88,1.15,"21,898",0.75,75.03,-,0,1.43,62,1.64,"18,903",1.04,76.57,-,0,0.72,26,0.00,"2,995",-1.02,65.74,-,0,5.26
2005M11,88,1.15,"21,898",0.71,78.30,-,0,-0.29,62,1.64,"18,903",1.06,80.22,-,0,-0.80,26,0.00,"2,995",-1.45,66.78,-,0,3.14
2005M12,87,0.00,"21,434",-1.43,72.67,-,0,-1.93,60,-1.64,"18,385",-1.71,74.18,-,0,-2.85,27,3.85,"3,049",0.33,63.61,-,0,2.66
2006M01,87,0.00,"21,434",-1.43,63.78,-,0,9.09,60,-1.64,"18,385",-1.71,65.21,-,0,8.37,27,3.85,"3,049",0.33,55.28,-,0,13.17
2006M02,86,-1.15,"21,189",-2.55,71.43,-,0,-4.78,59,-3.28,"18,140",-3.02,72.82,-,0,-4.80,27,3.85,"3,049",0.33,63.21,-,0,-5.29
2006M03,86,-1.15,"21,189",-2.36,73.84,-,0,1.45,59,-3.28,"18,140",-3.02,75.01,-,0,2.53,27,3.85,"3,049",1.77,66.90,-,0,-4.94
2006M04,87,0.00,"21,394",-1.41,68.26,-,0,5.20,59,-3.28,"18,140",-3.02,69.21,-,0,6.07,28,7.69,"3,254",8.65,62.78,-,0,0.64
2006M05,88,0.00,"21,570",-1.50,65.55,-,0,9.06,60,-3.23,"18,340",-2.98,67.11,-,0,9.99,28,7.69,"3,230",7.85,56.91,-,0,5.33
2006M06,88,0.00,"21,561",-1.54,71.59,-,0,10.71,60,-3.23,"18,331",-3.03,73.14,-,0,11.85,28,7.69,"3,230",7.85,62.96,-,0,4.53
2006M07,89,1.14,"21,825",-0.33,67.14,-,0,8.82,61,-1.61,"18,595",-1.63,68.11,-,0,11.04,28,7.69,"3,230",7.85,61.76,-,0,-2.74
2006M08,89,1.14,"21,806",-0.42,69.95,-,0,1.45,61,-1.61,"18,576",-1.73,71.06,-,0,2.54,28,7.69,"3,230",7.85,63.68,-,0,-4.22
2006M09,89,1.14,"21,815",-0.38,66.47,-,0,8.58,61,-1.61,"18,585",-1.68,67.46,-,0,11.08,28,7.69,"3,230",7.85,61.11,-,0,-2.15
2006M10,88,0.00,"21,061",-3.82,70.21,-,0,9.68,60,-3.23,"17,830",-5.68,71.26,-,0,12.95,28,7.69,"3,231",7.88,64.44,-,0,-5.75
2006M11,89,1.14,"21,095",-3.67,74.17,-,0,7.96,60,-3.23,"17,830",-5.68,75.42,-,0,11.32,29,11.54,"3,265",9.02,67.37,-,0,-8.02
2006M12,89,2.30,"21,095",-1.58,68.33,-,0,7.83,60,0.00,"17,830",-3.02,69.19,-,0,11.78,29,7.41,"3,265",7.08,63.71,-,0,-11.62
2007M01,89,2.30,"21,092",-1.60,58.50,-,0,7.71,60,0.00,"17,827",-3.04,59.59,-,0,11.07,29,7.41,"3,265",7.08,52.64,-,0,-9.89
2007M02,90,4.65,"21,274",0.40,63.59,-,0,21.76,60,1.69,"17,827",-1.73,64.67,-,0,24.48,30,11.11,"3,447",13.05,57.79,-,0,8.89
2007M03,90,4.65,"21,274",0.40,70.41,-,0,8.51,60,1.69,"17,827",-1.73,71.76,-,0,11.59,30,11.11,"3,447",13.05,63.52,-,0,-5.61
2007M04,90,3.45,"21,274",-0.56,67.92,-,0,1.83,60,1.69,"17,827",-1.73,69.07,-,0,4.38,30,7.14,"3,447",5.93,62.04,-,0,-10.41
2007M05,90,2.27,"21,274",-1.37,63.92,-,0,5.76,60,0.00,"17,827",-2.80,64.99,-,0,8.77,30,7.14,"3,447",6.72,58.46,-,0,-7.88
2007M06,90,2.27,"21,274",-1.33,70.81,-,0,5.56,60,0.00,"17,827",-2.75,72.08,-,0,8.48,30,7.14,"3,447",6.72,64.31,-,0,-7.97
2007M07,89,0.00,"20,976",-3.89,67.18,-,0,5.97,59,-3.28,"17,529",-5.73,68.27,-,0,8.28,30,7.14,"3,447",6.72,61.74,-,0,-4.46
2007M08,89,0.00,"20,976",-3.81,64.89,-,0,14.17,59,-3.28,"17,529",-5.64,66.43,-,0,15.84,30,7.14,"3,447",6.72,57.21,-,0,7.30
