期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2000M11,"28,499",...,1.28,-,"15,064",...,"13,435",...,"10,130",...,0.46,-,"6,312",...,"3,818",...,"18,369",-,0.83,-,573,-,0.03,-,"18,942",-,0.85,-,"27,611",...,"14,600",...,"13,011",...,361,...,187,...,174,...,521,...,273,...,248,...,6,...,4,...,2,...,17,...,9,...,8,...,573,...,302,...,271,...,45,...,18,...,27,...
2000M12,"27,874",...,1.25,-,"14,378",...,"13,496",...,"10,205",...,0.46,-,"6,376",...,"3,829",...,"17,669",-,0.79,-,"2,215",-,0.10,-,"19,884",-,0.89,-,"26,961",...,"13,895",...,"13,066",...,372,...,191,...,181,...,534,...,287,...,247,...,7,...,5,...,2,...,11,...,2,...,9,...,694,...,342,...,352,...,18,...,8,...,10,...
2001M01,"23,705",-1.40,1.06,-,"12,322",-2.31,"11,383",-0.39,"10,753",-6.32,0.48,-,"6,694",-4.63,"4,059",-8.97,"12,952",-,0.58,-,601,-,0.03,-,"13,553",-,0.61,-,"22,952",-1.58,"11,941",-2.47,"11,011",-0.60,281,-3.10,139,-9.15,142,3.65,468,8.84,240,11.11,228,6.54,4,100.00,2,0.00,2,--,5,-44.44,2,-50.00,3,-40.00,545,-5.22,287,-6.51,258,-3.73,33,-2.94,20,17.65,13,-23.53
2001M02,"21,610",-2.93,0.97,-,"11,365",-2.66,"10,245",-3.23,"11,219",5.48,0.50,-,"6,980",6.11,"4,239",4.46,"10,391",-,0.47,-,"-1,685",-,-0.08,-,"8,706",-,0.39,-,"20,822",-3.36,"10,961",-3.05,"9,861",-3.69,311,11.47,165,25.00,146,-0.68,472,8.26,236,0.00,236,18.00,5,66.67,3,50.00,2,100.00,7,-22.22,4,0.00,3,-40.00,515,-3.38,254,-15.89,261,12.99,18,-50.00,8,-57.89,10,-41.18
2001M03,"22,407",-14.67,1.00,-,"11,715",-15.40,"10,692",-13.85,"11,764",-6.05,0.53,-,"7,269",-5.59,"4,495",-6.78,"10,643",-,0.48,-,"-1,077",-,-0.05,-,"9,566",-,0.43,-,"21,559",-15.15,"11,260",-16.03,"10,299",-14.16,339,0.59,172,-6.01,167,8.44,505,-0.98,281,11.51,224,-13.18,4,-20.00,2,-50.00,2,100.00,9,28.57,5,66.67,4,0.00,537,-17.38,290,-14.71,247,-20.32,28,-17.65,15,-21.05,13,-13.33
2001M04,"20,922",-7.37,0.94,-,"10,948",-7.60,"9,974",-7.12,"10,727",2.91,0.48,-,"6,661",4.06,"4,066",1.07,"10,195",-,0.46,-,-458,-,-0.02,-,"9,737",-,0.44,-,"20,130",-7.94,"10,523",-8.53,"9,607",-7.30,306,-2.24,151,-0.66,155,-3.73,480,18.81,272,43.16,208,-2.80,6,100.00,2,0.00,4,300.00,6,-45.45,3,-62.50,3,0.00,497,-11.25,256,-14.67,241,-7.31,18,-45.45,12,-14.29,6,-68.42
2001M05,"21,584",-13.73,0.97,-,"11,224",-14.89,"10,360",-12.44,"10,882",-1.56,0.49,-,"6,795",-1.26,"4,087",-2.04,"10,702",-,0.48,-,-165,-,-0.01,-,"10,537",-,0.47,-,"20,780",-14.28,"10,853",-15.22,"9,927",-13.23,335,13.95,166,7.79,169,20.71,466,-2.10,205,-10.48,261,5.67,3,-50.00,0,-100.00,3,-25.00,10,-16.67,5,-16.67,5,-16.67,572,-8.77,322,-1.23,250,-16.94,12,-71.43,6,-71.43,6,-71.43
2001M06,"19,935",-13.09,0.89,-,"10,403",-13.93,"9,532",-12.15,"9,727",-3.12,0.44,-,"5,991",-3.62,"3,736",-2.30,"10,208",-,0.46,-,557,-,0.02,-,"10,765",-,0.48,-,"19,218",-13.25,"10,016",-14.31,"9,202",-12.08,299,-2.92,159,-5.36,140,0.00,416,-12.05,227,-0.87,189,-22.54,2,0.00,1,-50.00,1,--,5,-54.55,2,-77.78,3,50.00,511,-2.29,251,-10.04,260,6.56,20,-47.37,6,-71.43,14,-17.65
2001M07,"20,728",-15.17,0.93,-,"10,766",-15.50,"9,962",-14.82,"10,274",2.42,0.46,-,"6,418",2.84,"3,856",1.74,"10,454",-,0.47,-,373,-,0.02,-,"10,827",-,0.48,-,"19,941",-15.62,"10,356",-16.08,"9,585",-15.10,320,5.61,165,7.84,155,3.33,457,-7.68,239,-2.05,218,-13.15,10,42.86,6,100.00,4,0.00,7,-12.50,4,33.33,3,-40.00,514,-8.21,271,-8.45,243,-7.95,15,-57.14,7,-56.25,8,-57.89
2001M08,"22,402",-13.07,1.00,-,"11,584",-13.26,"10,818",-12.87,"10,720",10.19,0.48,-,"6,651",9.46,"4,069",11.39,"11,682",-,0.52,-,-747,-,-0.03,-,"10,935",-,0.49,-,"21,555",-13.25,"11,151",-13.47,"10,404",-13.01,375,1.35,196,14.62,179,-10.05,466,-14.81,231,-21.16,235,-7.48,6,-14.29,6,50.00,0,-100.00,4,-76.47,1,-85.71,3,-70.00,590,-7.96,287,-8.01,303,-7.90,12,-72.73,8,-65.22,4,-80.95
2001M09,"18,454",-31.44,0.83,-,"9,572",-31.70,"8,882",-31.15,"8,764",-9.71,0.39,-,"5,470",-10.80,"3,294",-7.83,"9,690",-,0.43,-,"-2,486",-,-0.11,-,"7,204",-,0.32,-,"17,800",-31.34,"9,242",-31.53,"8,558",-31.14,285,-25.20,140,-25.13,145,-25.26,364,-39.23,188,-41.80,176,-36.23,5,-44.44,2,-71.43,3,50.00,5,-68.75,1,-88.89,4,-42.86,437,-34.29,231,-32.65,206,-36.02,13,-59.38,9,-55.00,4,-66.67
2001M10,"25,013",-12.88,1.12,-,"12,997",-12.85,"12,016",-12.90,"11,339",13.34,0.51,-,"7,033",11.79,"4,306",15.97,"13,674",-,0.61,-,-206,-,-0.01,-,"13,468",-,0.60,-,"24,095",-13.27,"12,524",-13.41,"11,571",-13.12,364,-1.36,180,0.00,184,-2.65,549,-0.18,288,8.68,261,-8.42,5,-44.44,5,0.00,0,-100.00,5,150.00,3,50.00,2,--,510,-18.40,262,-12.08,248,-24.16,9,-80.00,4,-84.00,5,-75.00
2001M11,"22,019",-22.74,0.98,-,"11,422",-24.18,"10,597",-21.12,"10,705",5.68,0.48,-,"6,692",6.02,"4,013",5.11,"11,314",-,0.51,-,204,-,0.01,-,"11,518",-,0.51,-,"21,183",-23.28,"10,994",-24.70,"10,189",-21.69,349,-3.32,180,-3.74,169,-2.87,480,-7.87,244,-10.62,236,-4.84,7,16.67,4,0.00,3,50.00,7,-58.82,7,-22.22,0,-100.00,477,-16.75,259,-14.24,218,-19.56,22,-51.11,11,-38.89,11,-59.26
2001M12,"21,575",-22.60,0.96,-,"11,278",-21.56,"10,297",-23.70,"10,773",5.57,0.48,-,"6,665",4.53,"4,108",7.29,"10,802",-,0.48,-,"1,278",-,0.06,-,"12,080",-,0.54,-,"20,823",-22.77,"10,883",-21.68,"9,940",-23.92,318,-14.52,157,-17.80,161,-11.05,428,-19.85,235,-18.12,193,-21.86,6,-14.29,3,-40.00,3,50.00,8,-27.27,5,150.00,3,-66.67,541,-22.05,292,-14.62,249,-29.26,18,0.00,11,37.50,7,-30.00
2002M01,"20,931",-11.70,0.93,-,"10,915",-11.42,"10,016",-12.01,"12,252",13.94,0.55,-,"7,489",11.88,"4,763",17.34,"8,679",-,0.39,-,-200,-,-0.01,-,"8,479",-,0.38,-,"20,168",-12.13,"10,549",-11.66,"9,619",-12.64,314,11.74,142,2.16,172,21.13,447,-4.49,222,-7.50,225,-1.32,2,-50.00,2,0.00,0,-100.00,10,100.00,8,300.00,2,-33.33,531,-2.57,261,-9.06,270,4.65,24,-27.27,13,-35.00,11,-15.38
2002M02,"17,551",-18.78,0.78,-,"9,134",-19.63,"8,417",-17.84,"10,264",-8.51,0.46,-,"6,298",-9.77,"3,966",-6.44,"7,287",-,0.33,-,459,-,0.02,-,"7,746",-,0.35,-,"16,925",-18.72,"8,797",-19.74,"8,128",-17.57,261,-16.08,140,-15.15,121,-17.12,362,-23.31,196,-16.95,166,-29.66,3,-40.00,1,-66.67,2,0.00,3,-57.14,2,-50.00,1,-66.67,443,-13.98,220,-13.39,223,-14.56,9,-50.00,4,-50.00,5,-50.00
2002M03,"20,185",-9.92,0.90,-,"10,457",-10.74,"9,728",-9.02,"11,413",-2.98,0.51,-,"7,059",-2.89,"4,354",-3.14,"8,772",-,0.39,-,-593,-,-0.03,-,"8,179",-,0.36,-,"19,406",-9.99,"10,069",-10.58,"9,337",-9.34,333,-1.77,161,-6.40,172,2.99,437,-13.47,223,-20.64,214,-4.46,9,125.00,5,150.00,4,100.00,7,-22.22,4,-20.00,3,-25.00,512,-4.66,252,-13.10,260,5.26,6,-78.57,3,-80.00,3,-76.92
2002M04,"20,565",-1.71,0.92,-,"10,804",-1.32,"9,761",-2.14,"10,713",-0.13,0.48,-,"6,605",-0.84,"4,108",1.03,"9,852",-,0.44,-,611,-,0.03,-,"10,463",-,0.47,-,"19,782",-1.73,"10,389",-1.27,"9,393",-2.23,320,4.58,173,14.57,147,-5.16,457,-4.79,240,-11.76,217,4.33,6,0.00,2,0.00,4,0.00,5,-16.67,1,-66.67,4,33.33,514,3.42,253,-1.17,261,8.30,23,27.78,13,8.33,10,66.67
2002M05,"20,603",-4.55,0.92,-,"10,732",-4.38,"9,871",-4.72,"10,566",-2.90,0.47,-,"6,467",-4.83,"4,099",0.29,"10,037",-,0.45,-,"-1,655",-,-0.07,-,"8,382",-,0.37,-,"19,845",-4.50,"10,322",-4.89,"9,523",-4.07,299,-10.75,158,-4.82,141,-16.57,448,-3.86,248,20.98,200,-23.37,11,266.67,4,--,7,133.33,3,-70.00,0,-100.00,3,-40.00,502,-12.24,258,-19.88,244,-2.40,16,33.33,7,16.67,9,50.00
2002M06,"18,137",-9.02,0.81,-,"9,516",-8.53,"8,621",-9.56,"9,775",0.49,0.44,-,"5,983",-0.13,"3,792",1.50,"8,362",-,0.37,-,309,-,0.01,-,"8,671",-,0.39,-,"17,445",-9.23,"9,152",-8.63,"8,293",-9.88,281,-6.02,140,-11.95,141,0.71,405,-2.64,220,-3.08,185,-2.12,6,200.00,4,300.00,2,100.00,7,40.00,1,-50.00,6,100.00,491,-3.91,225,-10.36,266,2.31,27,35.00,13,116.67,14,0.00
2002M07,"21,093",1.76,0.94,-,"11,026",2.42,"10,067",1.05,"11,551",12.43,0.51,-,"7,207",12.29,"4,344",12.66,"9,542",-,0.42,-,146,-,0.01,-,"9,688",-,0.43,-,"20,337",1.99,"10,645",2.79,"9,692",1.12,288,-10.00,132,-20.00,156,0.65,462,1.09,246,2.93,216,-0.92,6,-40.00,3,-50.00,3,-25.00,8,14.29,3,-25.00,5,66.67,487,-5.25,264,-2.58,223,-8.23,27,80.00,13,85.71,14,75.00
2002M08,"20,365",-9.09,0.91,-,"10,784",-6.91,"9,581",-11.43,"10,613",-1.00,0.47,-,"6,642",-0.14,"3,971",-2.41,"9,752",-,0.43,-,"-1,343",-,-0.06,-,"8,409",-,0.37,-,"19,514",-9.47,"10,318",-7.47,"9,196",-11.61,322,-14.13,175,-10.71,147,-17.88,523,12.23,285,23.38,238,1.28,6,0.00,6,0.00,0,--,6,50.00,5,400.00,1,-66.67,505,-14.41,276,-3.83,229,-24.42,23,91.67,11,37.50,12,200.00
2002M09,"20,735",12.36,0.92,-,"10,853",13.38,"9,882",11.26,"9,915",13.13,0.44,-,"6,116",11.81,"3,799",15.33,"10,820",-,0.48,-,"-2,041",-,-0.09,-,"8,779",-,0.39,-,"19,983",12.26,"10,457",13.15,"9,526",11.31,269,-5.61,133,-5.00,136,-6.21,478,31.32,261,38.83,217,23.30,5,0.00,2,0.00,3,0.00,12,140.00,4,300.00,8,100.00,540,23.57,275,19.05,265,28.64,9,-30.77,2,-77.78,7,75.00
2002M10,"23,175",-7.35,1.03,-,"12,118",-6.76,"11,057",-7.98,"10,676",-5.85,0.47,-,"6,578",-6.47,"4,098",-4.83,"12,499",-,0.56,-,-578,-,-0.03,-,"11,921",-,0.53,-,"22,360",-7.20,"11,702",-6.56,"10,658",-7.89,252,-30.77,128,-28.89,124,-32.61,560,2.00,286,-0.69,274,4.98,3,-40.00,2,-60.00,1,--,8,60.00,4,33.33,4,100.00,542,6.27,288,9.92,254,2.42,18,100.00,7,75.00,11,120.00
2002M11,"21,120",-4.08,0.94,-,"11,061",-3.16,"10,059",-5.08,"9,868",-7.82,0.44,-,"6,120",-8.55,"3,748",-6.60,"11,252",-,0.50,-,156,-,0.01,-,"11,408",-,0.51,-,"20,437",-3.52,"10,678",-2.87,"9,759",-4.22,225,-35.53,121,-32.78,104,-38.46,455,-5.21,259,6.15,196,-16.95,3,-57.14,3,-25.00,0,-100.00,5,-28.57,4,-42.86,1,--,503,5.45,227,-12.36,276,26.61,22,0.00,13,18.18,9,-18.18
2002M12,"23,070",6.93,1.02,-,"12,137",7.62,"10,933",6.18,"11,030",2.39,0.49,-,"6,784",1.79,"4,246",3.36,"12,040",-,0.53,-,"1,043",-,0.05,-,"13,083",-,0.58,-,"22,319",7.18,"11,727",7.76,"10,592",6.56,251,-21.07,132,-15.92,119,-26.09,496,15.89,277,17.87,219,13.47,4,-33.33,1,-66.67,3,0.00,7,-12.50,3,-40.00,4,33.33,565,4.44,310,6.16,255,2.41,21,16.67,15,36.36,6,-14.29
2003M01,"19,533",-6.68,0.87,-,"10,071",-7.73,"9,462",-5.53,"11,264",-8.06,0.50,-,"6,938",-7.36,"4,326",-9.17,"8,269",-,0.37,-,-372,-,-0.02,-,"7,897",-,0.35,-,"18,808",-6.74,"9,706",-7.99,"9,102",-5.37,251,-20.06,122,-14.08,129,-25.00,463,3.58,239,7.66,224,-0.44,11,450.00,4,100.00,7,--,9,-10.00,5,-37.50,4,100.00,489,-7.91,248,-4.98,241,-10.74,25,4.17,10,-23.08,15,36.36
2003M02,"17,626",0.43,0.78,-,"9,222",0.96,"8,404",-0.15,"11,369",10.77,0.50,-,"7,033",11.67,"4,336",9.33,"6,257",-,0.28,-,-979,-,-0.04,-,"5,278",-,0.23,-,"17,025",0.59,"8,924",1.44,"8,101",-0.33,205,-21.46,99,-29.29,106,-12.40,392,8.29,198,1.02,194,16.87,4,33.33,1,0.00,3,50.00,5,66.67,3,50.00,2,100.00,418,-5.64,222,0.91,196,-12.11,10,11.11,6,50.00,4,-20.00
2003M03,"19,312",-4.32,0.86,-,"10,098",-3.43,"9,214",-5.28,"11,765",3.08,0.52,-,"7,165",1.50,"4,600",5.65,"7,547",-,0.33,-,"-1,343",-,-0.06,-,"6,204",-,0.28,-,"18,586",-4.23,"9,731",-3.36,"8,855",-5.16,264,-20.72,144,-10.56,120,-30.23,457,4.58,220,-1.35,237,10.75,5,-44.44,3,-40.00,2,-50.00,5,-28.57,3,-25.00,2,-33.33,450,-12.11,244,-3.17,206,-20.77,14,133.33,6,100.00,8,166.67
2003M04,"18,092",-12.03,0.80,-,"9,512",-11.96,"8,580",-12.10,"11,242",4.94,0.50,-,"6,927",4.88,"4,315",5.04,"6,850",-,0.30,-,"-1,576",-,-0.07,-,"5,274",-,0.23,-,"17,428",-11.90,"9,154",-11.89,"8,274",-11.91,230,-28.12,133,-23.12,97,-34.01,429,-6.13,221,-7.92,208,-4.15,5,-16.67,4,100.00,1,-75.00,5,0.00,3,200.00,2,-50.00,448,-12.84,241,-4.74,207,-20.69,15,-34.78,10,-23.08,5,-50.00
2003M05,"17,634",-14.41,0.78,-,"9,319",-13.17,"8,315",-15.76,"11,251",6.48,0.50,-,"6,860",6.08,"4,391",7.12,"6,383",-,0.28,-,"-2,520",-,-0.11,-,"3,863",-,0.17,-,"16,992",-14.38,"8,983",-12.97,"8,009",-15.90,223,-25.42,114,-27.85,109,-22.70,416,-7.14,220,-11.29,196,-2.00,3,-72.73,2,-50.00,1,-85.71,4,33.33,3,--,1,-66.67,442,-11.95,228,-11.63,214,-12.30,15,-6.25,12,71.43,3,-66.67
2003M06,"17,448",-3.80,0.77,-,"9,075",-4.63,"8,373",-2.88,"10,493",7.35,0.47,-,"6,457",7.92,"4,036",6.43,"6,955",-,0.31,-,"-1,994",-,-0.09,-,"4,961",-,0.22,-,"16,817",-3.60,"8,756",-4.33,"8,061",-2.80,233,-17.08,113,-19.29,120,-14.89,396,-2.22,204,-7.27,192,3.78,2,-66.67,2,-50.00,0,-100.00,6,-14.29,4,300.00,2,-66.67,430,-12.42,231,2.67,199,-25.19,22,-18.52,12,-7.69,10,-28.57
2003M07,"19,368",-8.18,0.86,-,"10,143",-8.01,"9,225",-8.36,"11,269",-2.44,0.50,-,"6,833",-5.19,"4,436",2.12,"8,099",-,0.36,-,"-1,356",-,-0.06,-,"6,743",-,0.30,-,"18,685",-8.12,"9,765",-8.27,"8,920",-7.97,270,-6.25,160,21.21,110,-29.49,410,-11.26,215,-12.60,195,-9.72,3,-50.00,3,0.00,0,-100.00,8,0.00,2,-33.33,6,20.00,471,-3.29,262,-0.76,209,-6.28,34,25.93,14,7.69,20,42.86
2003M08,"17,196",-15.56,0.76,-,"9,087",-15.74,"8,109",-15.36,"9,373",-11.68,0.42,-,"5,820",-12.38,"3,553",-10.53,"7,823",-,0.35,-,"-1,616",-,-0.07,-,"6,207",-,0.28,-,"16,565",-15.11,"8,769",-15.01,"7,796",-15.22,211,-34.47,112,-36.00,99,-32.65,417,-20.27,205,-28.07,212,-10.92,3,-50.00,1,-83.33,2,--,5,-16.67,2,-60.00,3,200.00,432,-14.46,233,-15.58,199,-13.10,10,-56.52,4,-63.64,6,-50.00
