期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2010M08,"1,344,089",12.07,"716,188",11.88,"627,901",12.29,"134,314",10.17,"1,149,628",12.73,"60,147",4.43,"883,581",8.05,"127,500",50.86,"78,444",11.76,"2,356",-35.96,"252,208",13.02
2010M09,"1,163,113",23.14,"635,907",19.08,"527,206",28.42,"30,268",39.72,"1,049,783",22.61,"83,062",24.60,"782,978",25.11,"90,001",55.85,"43,594",30.96,"1,369",-27.18,"245,171",8.58
2010M10,"1,263,076",15.43,"701,937",12.17,"561,139",19.79,"31,701",-5.67,"1,122,473",15.12,"108,902",27.20,"795,114",7.11,"137,186",111.84,"54,171",17.89,"1,291",-45.27,"275,314",15.28
2010M11,"1,197,836",13.28,"671,520",11.16,"526,316",16.10,"30,342",20.68,"1,056,930",12.21,"110,564",22.29,"682,970",3.32,"160,516",50.82,"53,234",24.07,"1,166",-66.47,"299,950",23.14
2010M12,"1,196,266",8.96,"669,135",9.06,"527,131",8.85,"55,663",11.16,"1,059,700",8.53,"80,903",13.43,"677,232",1.75,"130,694",37.25,"65,656",19.57,"1,370",-54.89,"321,314",15.13
2011M01,"1,152,241",3.43,"621,530",1.64,"530,711",5.60,"81,941",7.28,"1,001,768",3.18,"68,532",2.52,"690,743",-5.59,"102,582",27.02,"49,124",10.94,"2,555",29.83,"307,237",20.27
2011M02,"1,218,693",0.73,"681,627",4.20,"537,066",-3.36,"86,306",-26.12,"1,063,298",3.14,"69,089",11.22,"804,856",-3.95,"112,417",-1.91,"53,411",3.93,"1,543",-16.91,"246,466",20.76
2011M03,"1,158,349",-4.01,"641,065",-3.18,"517,284",-5.00,"31,193",-12.01,"1,020,301",-3.20,"106,855",-8.83,"667,160",-7.06,"132,037",1.17,"49,565",1.88,"1,449",6.78,"308,138",-0.06
2011M04,"1,283,550",3.03,"705,688",3.69,"577,862",2.23,"46,784",13.75,"1,107,408",4.19,"129,358",-8.78,"752,558",1.16,"193,883",9.35,"69,716",4.43,"1,505",5.69,"265,888",3.69
2011M05,"1,285,801",1.48,"708,313",1.74,"577,488",1.15,"38,546",8.26,"1,130,735",2.78,"116,520",-11.27,"809,015",5.44,"152,168",-13.78,"54,855",-7.56,"1,372",-7.61,"268,391",2.26
2011M06,"1,361,790",5.97,"740,451",5.13,"621,339",7.00,"67,262",17.70,"1,199,696",6.49,"94,832",-6.36,"890,332",10.33,"121,421",-14.84,"64,360",-5.75,"1,412",2.02,"284,265",6.95
2011M07,"1,486,577",4.96,"783,102",5.06,"703,475",4.85,"165,537",0.79,"1,246,783",5.80,"74,257",0.91,"1,026,829",3.97,"125,030",0.92,"67,125",2.19,"1,717",0.70,"265,876",11.98
2011M08,"1,423,605",5.92,"747,787",4.41,"675,818",7.63,"133,868",-0.33,"1,222,535",6.34,"67,202",11.73,"911,458",3.16,"145,610",14.20,"76,637",-2.30,"2,052",-12.90,"287,848",14.13
2011M09,"1,251,715",7.62,"685,261",7.76,"566,454",7.44,"32,754",8.21,"1,131,756",7.81,"87,205",4.99,"823,272",5.15,"109,022",21.13,"43,612",0.04,"1,250",-8.69,"274,559",11.99
2011M10,"1,361,033",7.76,"741,900",5.69,"619,133",10.34,"38,535",21.56,"1,208,052",7.62,"114,446",5.09,"844,814",6.25,"150,988",10.06,"53,783",-0.72,"1,466",13.56,"309,982",12.59
2011M11,"1,297,033",8.28,"718,852",7.05,"578,181",9.85,"32,767",7.99,"1,147,230",8.54,"117,036",5.85,"706,108",3.39,"198,674",23.77,"56,719",6.55,"1,213",4.03,"334,319",11.46
2011M12,"1,286,999",7.58,"700,518",4.69,"586,481",11.26,"60,688",9.03,"1,137,467",7.34,"88,844",9.82,"656,728",-3.03,"187,066",43.13,"77,251",17.66,"1,441",5.18,"364,513",13.44
2012M01,"1,417,394",23.01,"745,704",19.98,"671,690",26.56,"127,046",55.05,"1,209,690",20.76,"80,658",17.69,"901,293",30.48,"134,371",30.99,"68,015",38.46,"2,669",4.46,"311,046",1.24
2012M02,"1,267,201",3.98,"684,431",0.41,"582,770",8.51,"62,252",-27.87,"1,113,685",4.74,"91,264",32.10,"772,495",-4.02,"158,843",41.30,"46,578",-12.79,"1,247",-19.18,"288,038",16.87
2012M03,"1,376,719",18.85,"731,711",14.14,"645,008",24.69,"36,362",16.57,"1,201,599",17.77,"138,758",29.86,"723,643",8.47,"235,245",78.17,"63,455",28.02,"1,183",-18.36,"353,193",14.62
2012M04,"1,529,398",19.15,"806,244",14.25,"723,154",25.14,"55,203",18.00,"1,308,552",18.16,"165,643",28.05,"851,486",13.15,"273,255",40.94,"99,875",43.26,"1,250",-16.94,"303,532",14.16
2012M05,"1,467,366",14.12,"781,384",10.32,"685,982",18.79,"39,763",3.16,"1,273,510",12.63,"154,093",32.25,"849,354",4.99,"244,172",60.46,"68,943",25.68,"1,302",-5.10,"303,595",13.12
2012M06,"1,506,374",10.62,"795,727",7.47,"710,647",14.37,"78,814",17.17,"1,315,708",9.67,"111,852",17.95,"908,600",2.05,"198,806",63.73,"92,912",44.36,"1,229",-12.96,"304,827",7.23
2012M07,"1,640,087",10.33,"844,972",7.90,"795,115",13.03,"176,942",6.89,"1,376,632",10.41,"86,513",16.50,"1,041,365",1.42,"224,152",79.28,"90,702",35.12,"1,532",-10.77,"282,336",6.19
2012M08,"1,572,321",10.45,"805,739",7.75,"766,582",13.43,"158,602",18.48,"1,337,457",9.40,"76,262",13.48,"933,988",2.47,"228,149",56.68,"97,606",27.36,"2,086",1.66,"310,492",7.87
2012M09,"1,299,096",3.79,"694,693",1.38,"604,403",6.70,"32,521",-0.71,"1,171,639",3.52,"94,936",8.87,"818,593",-0.57,"151,484",38.95,"53,636",22.98,"1,165",-6.80,"274,218",-0.12
2012M10,"1,528,358",12.29,"820,734",10.63,"707,624",14.29,"44,695",15.99,"1,355,869",12.24,"127,794",11.66,"912,063",7.96,"218,481",44.70,"76,945",43.07,"1,322",-9.82,"319,547",3.09
2012M11,"1,423,493",9.75,"773,428",7.59,"650,065",12.43,"41,303",26.05,"1,253,478",9.26,"128,712",9.98,"773,440",9.54,"233,569",17.56,"62,783",10.69,"1,143",-5.77,"352,558",5.46
2012M12,"1,435,727",11.56,"761,571",8.72,"674,156",14.95,"69,933",15.23,"1,270,404",11.69,"95,390",7.37,"753,440",14.73,"237,569",27.00,"83,329",7.87,"1,307",-9.30,"360,082",-1.22
2013M01,"1,340,024",-5.46,"710,446",-4.73,"629,578",-6.27,"85,675",-32.56,"1,171,366",-3.17,"82,983",2.88,"753,483",-16.40,"192,522",43.28,"61,845",-9.07,"1,841",-31.02,"330,333",6.20
2013M02,"1,510,953",19.24,"786,079",14.85,"724,874",24.38,"136,489",119.25,"1,289,081",15.75,"85,383",-6.44,"966,575",25.12,"219,185",37.99,"66,743",43.29,"1,788",43.38,"256,662",-10.89
2013M03,"1,518,785",10.32,"790,850",8.08,"727,935",12.86,"48,878",34.42,"1,323,581",10.15,"146,326",5.45,"814,558",12.56,"241,050",2.47,"78,122",23.11,"1,301",9.97,"383,754",8.65
2013M04,"1,614,103",5.54,"826,592",2.52,"787,511",8.90,"61,343",11.12,"1,380,687",5.51,"172,073",3.88,"897,886",5.45,"304,558",11.46,"96,978",-2.90,"1,340",7.20,"313,341",3.23
2013M05,"1,486,402",1.30,"779,369",-0.26,"707,033",3.07,"46,211",16.22,"1,301,781",2.22,"138,410",-10.18,"853,288",0.46,"238,183",-2.45,"82,130",19.13,"1,219",-6.37,"311,582",2.63
2013M06,"1,641,111",8.94,"846,804",6.42,"794,307",11.77,"96,169",22.02,"1,428,362",8.56,"116,580",4.23,"1,002,864",10.37,"222,888",12.11,"106,871",15.02,"1,350",9.85,"307,138",0.76
2013M07,"1,720,748",4.92,"873,231",3.34,"847,517",6.59,"191,313",8.12,"1,435,907",4.31,"93,528",8.11,"1,089,257",4.60,"233,729",4.27,"105,364",16.17,"1,619",5.68,"290,779",2.99
2013M08,"1,741,749",10.78,"880,040",9.22,"861,709",12.41,"179,897",13.43,"1,474,634",10.26,"87,218",14.37,"1,022,387",9.46,"265,586",16.41,"114,392",17.20,"1,856",-11.03,"337,528",8.71
2013M09,"1,570,605",20.90,"798,108",14.89,"772,497",27.81,"49,152",51.14,"1,400,649",19.55,"120,804",27.25,"977,616",19.43,"219,345",44.80,"72,221",34.65,"1,222",4.89,"300,201",9.48
2013M10,"1,680,899",9.98,"870,125",6.02,"810,774",14.58,"55,239",23.59,"1,482,605",9.35,"143,055",11.94,"1,007,052",10.41,"231,902",6.14,"81,100",5.40,"1,179",-10.82,"359,666",12.55
2013M11,"1,566,772",10.07,"820,711",6.11,"746,061",14.77,"49,378",19.55,"1,374,648",9.67,"142,746",10.90,"862,989",11.58,"226,296",-3.11,"80,445",28.13,"1,067",-6.65,"395,975",12.31
2013M12,"1,568,073",9.22,"810,542",6.43,"757,531",12.37,"80,426",15.00,"1,375,073",8.24,"112,574",18.01,"804,953",6.84,"234,119",-1.45,"104,536",25.45,"1,317",0.77,"423,148",17.51
2014M01,"1,583,584",18.18,"789,225",11.09,"794,359",26.17,"130,518",52.34,"1,351,985",15.42,"101,081",21.81,"854,554",13.41,"259,296",34.68,"67,628",9.35,"2,200",19.50,"399,906",21.06
2014M02,"1,670,633",10.57,"867,907",10.41,"802,726",10.74,"120,596",-11.64,"1,436,884",11.47,"113,153",32.52,"957,463",-0.94,"304,591",38.97,"82,377",23.42,"1,305",-27.01,"324,897",26.59
2014M03,"1,735,747",14.29,"861,749",8.96,"873,998",20.07,"54,226",10.94,"1,504,192",13.65,"177,329",21.19,"873,540",7.24,"339,743",40.94,"89,915",15.10,"1,142",-12.22,"431,407",12.42
2014M04,"1,859,676",15.21,"922,331",11.58,"937,345",19.03,"79,442",29.50,"1,565,320",13.37,"214,914",24.90,"985,216",9.73,"372,851",22.42,"130,670",34.74,"1,230",-8.21,"369,709",17.99
2014M05,"1,851,902",24.59,"923,617",18.51,"928,285",31.29,"67,415",45.89,"1,590,452",22.18,"194,035",40.19,"1,047,248",22.73,"336,168",41.14,"98,539",19.98,"1,214",-0.41,"368,733",18.34
2014M06,"1,916,253",16.77,"962,834",13.70,"953,419",20.03,"110,456",14.86,"1,648,412",15.41,"157,385",35.00,"1,090,022",8.69,"328,923",47.57,"126,676",18.53,"1,435",6.30,"369,197",20.21
2014M07,"1,962,314",14.04,"965,991",10.62,"996,323",17.56,"229,682",20.06,"1,620,618",12.86,"112,014",19.77,"1,163,193",6.79,"335,569",43.57,"124,058",17.74,"1,479",-8.65,"338,015",16.24
