期間,隔夜_加權平均,隔夜_最高,隔夜_最低,1週_加權平均,1週_最高,1週_最低,2週_加權平均,2週_最高,2週_最低,3週_加權平均,3週_最高,3週_最低,1個月_加權平均,1個月_最高,1個月_最低,2-6個月_加權平均,2-6個月_最高,2-6個月_最低,7個月-1年_加權平均,7個月-1年_最高,7個月-1年_最低,合計_加權平均,合計_最高,合計_最低
2010M03,0.130,0.350,0.095,-,0.420,0.095,-,0.400,0.095,-,0.150,0.096,-,0.350,0.097,-,0.610,0.120,-,0.610,0.120,-,0.610,0.095
2010M04,0.164,0.350,0.130,-,0.480,0.105,-,0.370,0.140,-,0.260,0.140,-,0.260,0.170,-,0.610,0.160,-,0.610,0.160,-,0.610,0.105
2010M05,0.174,0.360,0.150,-,0.420,0.170,-,0.370,0.170,-,0.200,0.171,-,0.400,0.180,-,0.610,0.171,-,0.610,0.171,-,0.610,0.150
2010M06,0.183,0.400,0.149,-,0.400,0.170,-,0.400,0.172,-,0.300,0.178,-,0.350,0.180,-,0.670,0.550,-,0.670,0.550,-,0.670,0.149
2010M07,0.196,0.400,0.165,-,0.430,0.165,-,0.430,0.190,-,0.250,0.195,-,0.280,0.200,-,0.670,0.220,-,0.670,0.220,-,0.670,0.165
2010M08,0.203,0.380,0.167,-,0.430,0.194,-,0.400,0.195,-,0.380,0.198,-,0.410,0.200,-,0.670,0.200,-,0.670,0.200,-,0.670,0.167
2010M09,0.210,0.460,0.169,-,0.470,0.190,-,0.420,0.203,-,0.400,0.200,-,0.410,0.205,-,0.670,0.220,-,0.670,0.220,-,0.670,0.169
2010M10,0.226,0.480,0.180,-,0.490,0.181,-,0.480,0.223,-,0.260,0.222,-,0.470,0.240,-,0.730,0.240,-,0.730,0.240,-,0.730,0.180
2010M11,0.231,0.480,0.182,-,0.480,0.210,-,0.480,0.228,-,0.240,0.228,-,0.470,0.240,-,0.730,0.470,-,0.730,0.470,-,0.730,0.182
2010M12,0.239,0.480,0.185,-,0.550,0.190,-,0.495,0.230,-,0.240,0.235,-,0.260,0.240,-,0.730,0.250,-,0.730,0.250,-,0.730,0.185
2011M01,0.257,0.590,0.195,-,0.630,0.220,-,0.630,0.250,-,0.590,0.260,-,0.690,0.260,-,0.780,0.265,-,0.780,0.265,-,0.780,0.195
2011M02,0.262,0.580,0.197,-,0.620,0.200,-,0.600,0.255,-,0.270,0.270,-,0.290,0.260,-,0.780,0.660,-,0.780,0.660,-,0.780,0.197
2011M03,0.274,0.600,0.203,-,0.700,0.200,-,0.700,0.269,-,0.278,0.275,-,0.320,0.280,-,0.780,0.280,-,0.780,0.280,-,0.780,0.200
2011M04,0.296,0.800,0.214,-,0.950,0.290,-,0.720,0.293,-,0.310,0.298,-,0.340,0.320,-,0.880,0.710,-,0.880,0.710,-,0.950,0.214
2011M05,0.319,0.760,0.226,-,0.810,0.278,-,0.780,0.305,-,0.355,0.305,-,0.360,0.360,-,0.890,0.320,-,0.890,0.320,-,0.890,0.226
2011M06,0.344,0.780,0.230,-,0.840,0.260,-,0.790,0.340,-,0.360,0.360,-,0.410,0.400,-,0.890,0.780,-,0.890,0.780,-,0.890,0.230
2011M07,0.375,0.820,0.270,-,0.830,0.310,-,0.810,0.375,-,0.620,0.620,-,0.430,0.395,-,0.930,0.430,-,0.930,0.430,-,0.930,0.270
2011M08,0.388,0.820,0.286,-,0.830,0.338,-,0.800,0.395,-,0.450,0.450,-,0.460,0.460,-,0.920,0.860,-,0.920,0.860,-,0.920,0.286
2011M09,0.394,0.893,0.294,-,0.890,0.387,-,0.830,0.395,-,-,-,-,0.460,0.460,-,0.920,0.420,-,0.920,0.420,-,0.920,0.294
2011M10,0.395,0.850,0.296,-,0.860,0.389,-,0.850,0.400,-,0.460,0.450,-,0.690,0.470,-,0.920,0.370,-,0.920,0.370,-,0.920,0.296
2011M11,0.396,0.800,0.299,-,0.820,0.378,-,0.800,0.400,-,0.460,0.445,-,0.470,0.470,-,0.920,0.450,-,0.920,0.450,-,0.920,0.299
2011M12,0.400,0.810,0.299,-,0.870,0.378,-,0.780,0.410,-,0.850,0.440,-,-,-,-,0.920,0.450,-,0.920,0.450,-,0.920,0.299
2012M01,0.403,0.780,0.299,-,0.780,0.392,-,0.800,0.400,-,0.780,0.392,-,0.870,0.400,-,0.920,0.400,-,0.920,0.400,-,0.920,0.299
2012M02,0.399,0.740,0.299,-,0.780,0.392,-,0.760,0.392,-,0.740,0.430,-,0.450,0.420,-,0.920,0.420,-,0.920,0.420,-,0.920,0.299
2012M03,0.402,0.850,0.299,-,0.850,0.378,-,0.800,0.400,-,0.610,0.450,-,0.500,0.420,-,0.920,0.420,-,0.920,0.420,-,0.920,0.299
2012M04,0.476,0.750,0.317,-,0.800,0.400,-,0.820,0.400,-,0.510,0.500,-,0.530,0.430,-,0.920,0.450,-,0.920,0.450,-,0.920,0.317
2012M05,0.512,0.750,0.385,-,0.880,0.450,-,0.760,0.510,-,0.740,0.630,-,0.570,0.550,-,0.920,0.405,-,0.920,0.405,-,0.920,0.385
2012M06,0.513,0.770,0.388,-,0.870,0.480,-,0.870,0.516,-,0.600,0.530,-,0.580,0.550,-,0.920,0.550,-,0.920,0.550,-,0.920,0.388
2012M07,0.445,0.730,0.295,-,0.770,0.380,-,0.740,0.388,-,0.620,0.388,-,0.550,0.500,-,0.900,0.420,-,0.900,0.420,-,0.900,0.295
2012M08,0.388,0.650,0.295,-,0.650,0.380,-,0.650,0.380,-,0.400,0.400,-,0.440,0.430,-,0.900,0.400,-,0.900,0.400,-,0.900,0.295
2012M09,0.389,0.580,0.295,-,0.870,0.360,-,0.600,0.390,-,0.530,0.410,-,0.870,0.420,-,0.900,0.420,-,0.900,0.420,-,0.900,0.295
2012M10,0.388,0.550,0.295,-,0.590,0.388,-,0.580,0.390,-,0.520,0.430,-,0.420,0.420,-,0.930,0.400,-,0.930,0.400,-,0.930,0.295
2012M11,0.386,0.510,0.295,-,0.540,0.378,-,0.590,0.388,-,0.510,0.400,-,0.470,0.388,-,0.900,0.370,-,0.900,0.370,-,0.900,0.295
2012M12,0.388,0.550,0.295,-,0.650,0.388,-,0.810,0.388,-,0.520,0.388,-,0.688,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2013M01,0.387,0.450,0.295,-,0.510,0.378,-,0.580,0.388,-,0.500,0.430,-,0.870,0.388,-,1.050,0.350,-,1.050,0.350,-,1.050,0.295
2013M02,0.387,0.470,0.295,-,0.500,0.350,-,0.540,0.350,-,0.630,0.388,-,0.870,0.360,-,0.900,0.760,-,0.900,0.760,-,0.900,0.295
2013M03,0.387,0.450,0.295,-,0.500,0.388,-,0.480,0.388,-,0.480,0.400,-,0.870,0.388,-,0.900,0.350,-,0.900,0.350,-,0.900,0.295
2013M04,0.386,0.430,0.295,-,0.450,0.350,-,0.450,0.350,-,0.440,0.420,-,0.870,0.350,-,0.900,0.330,-,0.900,0.330,-,0.900,0.295
2013M05,0.386,0.420,0.295,-,0.440,0.370,-,0.440,0.388,-,0.440,0.388,-,0.870,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2013M06,0.386,0.430,0.295,-,0.500,0.370,-,0.600,0.350,-,0.500,0.410,-,0.430,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2013M07,0.386,0.420,0.295,-,0.500,0.375,-,0.500,0.388,-,0.600,0.420,-,0.410,0.410,-,0.930,0.388,-,0.930,0.388,-,0.930,0.295
2013M08,0.386,0.410,0.295,-,0.500,0.380,-,0.600,0.388,-,0.600,0.388,-,0.410,0.410,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2013M09,0.386,0.440,0.295,-,0.600,0.295,-,0.500,0.380,-,0.600,0.380,-,0.600,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2013M10,0.387,0.500,0.295,-,0.450,0.380,-,0.440,0.380,-,0.600,0.388,-,0.620,0.410,-,0.900,0.380,-,0.900,0.380,-,0.900,0.295
2013M11,0.386,0.405,0.295,-,0.450,0.370,-,0.500,0.350,-,0.600,0.400,-,0.630,0.388,-,0.900,0.650,-,0.900,0.650,-,0.900,0.295
2013M12,0.387,0.440,0.295,-,0.450,0.370,-,0.450,0.380,-,0.600,0.390,-,0.650,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2014M01,0.388,0.500,0.295,-,0.445,0.378,-,0.480,0.380,-,0.600,0.388,-,0.610,0.380,-,0.900,0.380,-,0.900,0.380,-,0.900,0.295
2014M02,0.387,0.440,0.295,-,0.500,0.350,-,0.600,0.380,-,0.580,0.388,-,0.430,0.380,-,0.900,0.750,-,0.900,0.750,-,0.900,0.295
2014M03,0.387,0.420,0.295,-,0.500,0.380,-,0.480,0.380,-,0.540,0.388,-,0.620,0.388,-,0.900,0.380,-,0.900,0.380,-,0.900,0.295
2014M04,0.387,0.450,0.295,-,0.460,0.380,-,0.460,0.385,-,0.450,0.388,-,0.550,0.380,-,0.900,0.600,-,0.900,0.600,-,0.900,0.295
2014M05,0.388,0.500,0.295,-,0.500,0.378,-,0.540,0.388,-,0.490,0.388,-,0.430,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2014M06,0.387,0.500,0.295,-,0.600,0.380,-,0.550,0.388,-,0.510,0.388,-,0.510,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
2014M07,0.387,0.490,0.295,-,0.540,0.378,-,0.500,0.380,-,0.470,0.388,-,0.540,0.388,-,0.900,0.388,-,0.900,0.388,-,0.900,0.295
