期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
2002,"1,225,600.850","85,900.543",10.039,"392,939.078","165,758.919","227,180.159","19,417.250","4,119.914","143,641.480","76,794.435","2,864.026","214,734.692","6,911.442","45,885.799","98,069.452",-,"50,169.374","47,900.078","46,463.784","1,648.789","10,261.814",23.359,346.450,"41,188.051","26,082.669","8,297.784",-
2003,"1,252,766.218","82,782.764",10.187,"411,086.972","213,682.897","197,404.075","24,671.271","5,434.956","146,011.511","69,283.205","4,805.704","197,521.003","7,785.901","47,764.976","111,802.984",-,"50,762.035","61,040.949","48,012.750","1,751.110","11,600.349",17.887,-,"49,772.631","22,433.266","10,216.791",-
2004,"1,387,300.291","78,884.589",3.799,"455,913.822","241,088.853","214,824.969","23,162.455","5,885.253","159,643.630","84,148.343","8,272.379","233,459.833","7,770.687","49,904.368","133,893.333",-,"52,617.195","81,276.138","49,323.149","1,862.094","12,936.962",8.626,-,"48,336.188","24,229.514","9,661.267",-
2005,"1,567,396.363","82,373.668",0.638,"625,807.052","329,357.079","296,449.973","24,109.673","6,341.231","168,410.908","68,203.675","6,341.673","237,531.217","8,458.054","51,863.060","135,370.017",-,"53,705.856","81,664.161","50,876.888","1,978.782","13,178.008",9.531,-,"50,443.151","25,712.124","10,387.013",-
2006,"1,600,803.894","79,566.925",0.158,"646,217.799","311,887.576","334,330.223","23,516.468","5,177.270","159,201.482","89,954.385","4,072.486","236,931.350","8,713.667","52,548.499","131,207.704",-,"54,660.359","76,547.345","52,493.513","1,986.335","14,013.856",7.899,-,"51,041.996","26,643.871","17,508.231",-
2007,"1,733,894.782","81,859.070",0.279,"730,159.866","382,633.510","347,526.356","21,779.848","6,701.281","149,036.726","128,894.627","5,757.834","246,136.725","8,837.312","53,271.422","133,691.191",-,"59,008.809","74,682.382","53,882.845","1,809.257","13,636.896",5.034,-,"50,415.193","28,130.888","19,888.488",-
2008,"1,760,438.282","80,425.705",0.021,"834,988.400","445,244.861","389,743.539","23,871.158","5,106.538","126,659.613","90,630.291","6,691.514","243,960.817","9,649.862","53,254.944","116,082.367",-,"59,126.928","56,955.439","55,343.250","1,745.023","12,696.095",5.400,-,"49,506.301","29,706.001","20,114.982",-
2009,"1,530,282.190","68,827.432",0.038,"640,966.779","334,162.587","306,804.192","17,224.637","5,102.527","127,878.770","105,956.213","3,749.691","223,503.049","8,463.872","53,049.587","112,366.946",-,"59,053.891","53,313.055","56,346.975","1,666.423","13,065.855",0.150,-,"45,349.092","21,853.430","24,910.724",-
2010,"1,622,244.070","89,484.228",0.011,"590,387.476","285,701.268","304,686.208","31,264.086","9,065.790","150,777.174","104,574.112","4,556.136","268,213.690","8,944.538","54,051.738","136,356.984",...,"63,044.266","73,312.718","58,202.695","1,645.676","13,815.457",-8.851,...,"44,516.115","21,602.057","34,794.958",...
2011,"1,764,610.616","96,322.743",0.086,"710,191.056","367,186.074","343,004.982","15,847.227","7,811.615","164,876.634","93,990.479","5,859.643","283,884.285","9,397.243","55,380.372","141,981.922",...,"63,374.107","78,607.815","59,466.872","1,676.424","12,640.465",1.118,...,"44,660.361","23,806.475","34,609.126","2,206.470"
2012,"1,796,697.193","94,918.150",-,"760,809.633","367,744.332","393,065.301","19,276.361","9,004.047","160,897.298","71,940.358","4,297.887","281,817.236","10,009.459","56,533.991","143,848.851",...,"62,712.169","81,136.682","61,796.279","1,566.328","11,693.005",2.138,...,"44,938.842","24,719.963","34,352.076","4,275.291"
2013,"1,818,863.566","96,303.513",-,"740,510.465","349,686.818","390,823.647","13,956.027","9,533.608","161,076.705","70,975.112","2,652.912","294,151.293","10,374.701","57,759.438","174,081.236",...,"70,826.549","103,254.687","63,013.458","1,633.752","13,560.334",1.198,...,"44,349.126","24,931.207","34,812.388","5,187.093"
