期間,遷入-合計_原始值,遷入-合計_年增率(%),遷入-自外國_原始值,遷入-自外國_年增率(%),遷入-新北市_原始值,遷入-新北市_年增率(%),遷入-臺北市_原始值,遷入-臺北市_年增率(%),遷入-臺中市_原始值,遷入-臺中市_年增率(%),遷入-臺南市_原始值,遷入-臺南市_年增率(%),遷入-高雄市_原始值,遷入-高雄市_年增率(%),遷入-臺灣省_原始值,遷入-臺灣省_年增率(%),遷入-福建省_原始值,遷入-福建省_年增率(%),遷入-其他省市_原始值,遷入-其他省市_年增率(%),遷入-自本省他縣市_原始值,遷入-自本省他縣市_年增率(%),遷入-自本縣市他鄉鎮市區_原始值,遷入-自本縣市他鄉鎮市區_年增率(%),遷入-初設戶籍_原始值,遷入-初設戶籍_年增率(%),遷入-其他_原始值,遷入-其他_年增率(%),遷出-合計_原始值,遷出-合計_年增率(%),遷出-往外國_原始值,遷出-往外國_年增率(%),遷出-新北市_原始值,遷出-新北市_年增率(%),遷出-臺北市_原始值,遷出-臺北市_年增率(%),遷出-臺中市_原始值,遷出-臺中市_年增率(%),遷出-臺南市_原始值,遷出-臺南市_年增率(%),遷出-高雄市_原始值,遷出-高雄市_年增率(%),遷出-臺灣省_原始值,遷出-臺灣省_年增率(%),遷出-福建省_原始值,遷出-福建省_年增率(%),遷出-其他省市_原始值,遷出-其他省市_年增率(%),遷出-自本省他縣市_原始值,遷出-自本省他縣市_年增率(%),遷出-自本縣市他鄉鎮市區_原始值,遷出-自本縣市他鄉鎮市區_年增率(%),遷出-廢止戶籍_原始值,遷出-廢止戶籍_年增率(%),遷出-其他_原始值,遷出-其他_年增率(%),鄉鎮區內住址變更人數 -遷入_原始值,鄉鎮區內住址變更人數 -遷入_年增率(%),鄉鎮區內住址變更人數 -遷出_原始值,鄉鎮區內住址變更人數 -遷出_年增率(%),淨遷入_原始值,淨遷入_年增率(%)
2002M04,"113,143",4.92,"2,210",2.79,-,--,"8,164",-5.17,-,--,-,--,"3,985",-10.35,"13,670",22.23,301,135.16,1,-50.00,"34,410",2.04,"49,026",5.68,"1,368",13.81,8,14.29,"112,532",3.91,"2,960",-20.56,-,--,"8,345",23.43,-,--,-,--,"5,482",28.72,"11,927",-5.76,355,-48.40,0,--,"34,362",1.82,"49,060",5.69,28,21.74,13,-35.00,"58,105",14.31,"58,105",14.31,611,-
2002M05,"118,398",-4.12,"2,490",15.06,-,--,"9,377",-7.00,-,--,-,--,"4,443",-12.45,"14,057",11.42,230,40.24,2,0.00,"35,517",-8.27,"50,998",-4.49,"1,275",1.11,9,12.50,"120,053",-2.91,"5,395",52.10,-,--,"8,922",18.03,-,--,-,--,"5,422",13.93,"13,436",-8.83,326,-62.83,0,--,"35,507",-8.27,"50,998",-4.52,24,-33.33,23,27.78,"61,667",6.63,"61,667",6.63,"-1,655",-
2002M06,"146,909",14.48,"2,333",3.97,-,--,"9,183",-8.63,-,--,-,--,"5,949",12.25,"17,693",37.60,291,71.18,3,200.00,"43,036",6.72,"67,244",19.73,"1,163",-3.88,14,75.00,"146,600",14.74,"3,207",10.02,-,--,"10,397",27.49,-,--,-,--,"7,512",59.69,"14,902",-0.57,296,-43.51,0,--,"43,017",6.70,"67,234",19.81,20,-41.18,15,-11.76,"81,547",34.06,"81,547",34.06,309,-
2002M07,"144,730",22.80,"2,874",8.99,-,--,"9,949",2.09,-,--,-,--,"5,647",10.94,"18,645",53.18,428,117.26,3,-57.14,"43,022",15.90,"62,814",27.07,"1,337",-3.67,11,-84.29,"144,584",23.06,"4,061",10.50,-,--,"11,545",56.56,-,--,-,--,"7,433",59.34,"15,311",6.79,377,-53.69,0,--,"43,004",15.90,"62,814",27.10,22,10.00,17,-77.03,"70,774",41.71,"70,774",41.71,146,-
2002M08,"136,939",-20.95,"2,297",-6.89,-,--,"9,823",-18.71,-,--,-,--,"5,596",-10.49,"15,208",9.81,454,86.83,2,0.00,"43,884",-4.52,"58,392",-3.46,"1,270",-16.56,13,-99.96,"138,282",-20.51,"4,855",3.30,-,--,"9,244",6.65,-,--,-,--,"6,215",16.56,"15,175",-14.83,459,-26.21,0,--,"43,909",-4.46,"58,397",-3.43,17,-41.38,11,-99.96,"65,602",6.84,"65,602",6.84,"-1,343",-
2002M09,"106,291",22.13,"1,921",43.04,-,--,"7,486",20.51,-,--,-,--,"4,068",-3.26,"10,861",41.38,328,141.18,0,-100.00,"31,459",21.84,"49,041",20.80,"1,119",8.43,8,100.00,"108,332",21.02,"5,082",4.87,-,--,"6,867",53.93,-,--,-,--,"4,161",42.16,"11,373",11.53,330,-48.44,0,--,"31,442",21.83,"49,033",20.75,16,-11.11,28,100.00,"63,022",43.04,"63,022",43.04,"-2,041",-
2002M10,"94,486",7.28,"2,106",19.12,-,--,"5,599",-15.45,-,--,-,--,"3,458",-3.76,"10,443",21.20,210,12.30,1,--,"28,490",7.46,"43,060",9.13,"1,106",-15.31,13,18.18,"95,064",7.69,"3,758",16.24,-,--,"6,690",24.40,-,--,-,--,"3,934",15.10,"8,779",-11.86,307,18.99,0,--,"28,493",7.53,"43,061",9.10,28,-30.00,14,-39.13,"54,690",10.03,"54,690",10.03,-578,-
2002M11,"83,935",6.27,"2,068",4.50,-,--,"4,527",-17.57,-,--,-,--,"2,785",-6.83,"9,257",21.61,226,34.52,3,50.00,"26,267",7.85,"37,777",7.79,"1,017",-22.72,8,-57.89,"83,779",6.35,"2,908",-5.74,-,--,"5,974",29.14,-,--,-,--,"3,382",8.12,"7,152",-13.82,281,34.45,0,--,"26,254",7.78,"37,769",7.86,38,22.58,21,0.00,"46,856",9.35,"46,856",9.35,156,-
2002M12,"106,958",-19.85,"2,955",10.59,-,--,"8,536",-17.93,-,--,-,--,"5,383",-13.36,"11,099",-20.40,245,-16.95,0,-100.00,"31,082",-23.09,"46,469",-20.25,"1,180",-3.04,9,-40.00,"105,915",-19.86,"3,060",17.42,-,--,"7,088",-13.20,-,--,-,--,"4,187",-30.63,"13,666",-16.00,327,-12.33,0,--,"31,076",-23.07,"46,460",-20.27,30,3.45,21,61.54,"53,974",-23.06,"53,974",-23.06,"1,043",-
2003M01,"102,184",-25.10,"2,560",11.45,-,--,"8,766",-9.61,-,--,-,--,"4,763",-26.67,"10,428",-30.02,190,-30.91,2,-50.00,"29,589",-25.86,"44,859",-27.16,"1,014",-18.36,13,-31.58,"102,556",-24.94,"3,920",4.48,-,--,"6,625",-13.82,-,--,-,--,"3,996",-44.00,"13,164",-16.70,357,-51.89,0,--,"29,590",-25.84,"44,850",-27.17,28,64.71,26,116.67,"51,746",-26.82,"51,746",-26.82,-372,-
2003M02,"99,728",-30.83,"1,957",-0.66,-,--,"7,769",-5.81,-,--,-,--,"4,265",-27.01,"9,912",-29.61,210,-26.57,0,-100.00,"31,178",-30.29,"43,537",-35.84,890,-23.14,10,11.11,"100,707",-29.93,"3,802",41.29,-,--,"6,238",-11.01,-,--,-,--,"3,813",-42.88,"11,740",-15.16,361,-61.14,0,--,"31,180",-30.17,"43,535",-35.88,23,187.50,15,-6.25,"49,434",-34.05,"49,434",-34.05,-979,-
2003M03,"106,385",-11.47,"2,086",1.21,-,--,"8,255",-0.59,-,--,-,--,"4,360",3.02,"11,082",-19.88,212,-41.76,0,-100.00,"31,688",-14.72,"47,622",-9.68,"1,076",-27.98,4,-42.86,"107,728",-10.80,"4,487",8.99,-,--,"7,039",-16.77,-,--,-,--,"4,121",-26.31,"12,370",-0.05,374,20.65,0,--,"31,682",-14.73,"47,620",-9.69,22,37.50,13,-27.78,"55,188",-9.77,"55,188",-9.77,"-1,343",-
2003M04,"103,891",-8.18,"1,463",-33.80,-,--,"8,317",1.87,-,--,-,--,"4,321",8.43,"10,803",-20.97,248,-17.61,0,-100.00,"31,988",-7.04,"45,733",-6.72,"1,008",-26.32,10,25.00,"105,467",-6.28,"4,028",36.08,-,--,"7,115",-14.74,-,--,-,--,"3,931",-28.29,"12,355",3.59,289,-18.59,0,--,"31,991",-6.90,"45,728",-6.79,11,-60.71,19,46.15,"52,680",-9.34,"52,680",-9.34,"-1,576",-
2003M05,"108,051",-8.74,788,-68.35,-,--,"9,253",-1.32,-,--,-,--,"4,565",2.75,"10,367",-26.25,215,-6.52,0,-100.00,"33,425",-5.89,"48,666",-4.57,761,-40.31,11,22.22,"110,571",-7.90,"4,059",-24.76,-,--,"6,460",-27.59,-,--,-,--,"4,167",-23.15,"13,601",1.23,165,-49.39,0,--,"33,424",-5.87,"48,653",-4.60,16,-33.33,26,13.04,"58,881",-4.52,"58,881",-4.52,"-2,520",-
2003M06,"116,573",-20.65,991,-57.52,-,--,"9,283",1.09,-,--,-,--,"4,525",-23.94,"11,292",-36.18,194,-33.33,1,-66.67,"35,803",-16.81,"53,767",-20.04,708,-39.12,9,-35.71,"118,567",-19.12,"3,681",14.78,-,--,"7,366",-29.15,-,--,-,--,"4,157",-44.66,"13,535",-9.17,237,-19.93,0,--,"35,798",-16.78,"53,760",-20.04,14,-30.00,19,26.67,"63,920",-21.62,"63,920",-21.62,"-1,994",-
2003M07,"116,494",-19.51,"2,356",-18.02,-,--,"9,545",-4.06,-,--,-,--,"4,918",-12.91,"12,386",-33.57,304,-28.97,1,-66.67,"35,626",-17.19,"50,271",-19.97,"1,074",-19.67,13,18.18,"117,850",-18.49,"4,760",17.21,-,--,"8,052",-30.26,-,--,-,--,"4,609",-37.99,"14,162",-7.50,329,-12.73,0,--,"35,621",-17.17,"50,276",-19.96,0,-100.00,41,141.18,"58,535",-17.29,"58,535",-17.29,"-1,356",-
2003M08,"115,731",-15.49,"2,586",12.58,-,--,"9,321",-5.11,-,--,-,--,"4,832",-13.65,"11,857",-22.03,272,-40.09,1,-50.00,"36,891",-15.94,"48,788",-16.45,"1,178",-7.24,5,-61.54,"117,347",-15.14,"5,371",10.63,-,--,"7,575",-18.05,-,--,-,--,"4,421",-28.87,"13,829",-8.87,451,-1.74,0,--,"36,869",-16.03,"48,788",-16.45,0,-100.00,43,290.91,"54,130",-17.49,"54,130",-17.49,"-1,616",-
2003M09,"116,837",9.92,"2,528",31.60,-,--,"9,210",23.03,-,--,-,--,"4,661",14.58,"11,507",5.95,269,-17.99,0,--,"34,144",8.53,"53,415",8.92,"1,090",-2.59,13,62.50,"119,381",10.20,"6,135",20.72,-,--,"7,482",8.96,-,--,-,--,"4,158",-0.07,"13,584",19.44,421,27.58,0,--,"34,146",8.60,"53,410",8.93,0,-100.00,45,60.71,"66,668",5.79,"66,668",5.79,"-2,544",-
2003M10,"95,523",1.10,"2,702",28.30,-,--,"7,137",27.47,-,--,-,--,"3,808",10.12,"9,896",-5.24,188,-10.48,3,200.00,"27,404",-3.81,"43,339",0.65,"1,037",-6.24,9,-30.77,"95,150",0.09,"3,321",-11.63,-,--,"6,302",-5.80,-,--,-,--,"3,653",-7.14,"10,607",20.82,463,50.81,0,--,"27,406",-3.81,"43,341",0.65,0,-100.00,57,307.14,"53,450",-2.27,"53,450",-2.27,373,-
2003M11,"86,835",3.46,"2,102",1.64,-,--,"6,355",40.38,-,--,-,--,"3,669",31.74,"8,908",-3.77,165,-26.99,0,-100.00,"25,497",-2.93,"39,260",3.93,862,-15.24,17,112.50,"86,610",3.38,"2,723",-6.36,-,--,"5,619",-5.94,-,--,-,--,"3,278",-3.08,"9,786",36.83,413,46.98,0,--,"25,503",-2.86,"39,248",3.92,0,-100.00,40,90.48,"49,164",4.93,"49,164",4.93,225,-
2003M12,"105,294",-1.56,"3,381",14.42,-,--,"8,073",-5.42,-,--,-,--,"3,846",-28.55,"10,734",-3.29,196,-20.00,2,--,"30,135",-3.05,"47,765",2.79,"1,107",-6.19,55,511.11,"104,087",-1.73,"3,273",6.96,-,--,"6,961",-1.79,-,--,-,--,"3,835",-8.41,"11,572",-15.32,437,33.64,0,--,"30,132",-3.04,"47,790",2.86,0,-100.00,87,314.29,"57,319",6.20,"57,319",6.20,"1,207",-
2004M01,"86,854",-15.00,"2,689",5.04,-,--,"5,876",-32.97,-,--,-,--,"3,304",-30.63,"8,721",-16.37,177,-6.84,1,-50.00,"27,384",-7.45,"37,827",-15.68,858,-15.38,17,30.77,"86,102",-16.04,"2,813",-28.24,-,--,"5,516",-16.74,-,--,-,--,"3,288",-17.72,"8,932",-32.15,331,-7.28,0,--,"27,372",-7.50,"37,812",-15.69,0,-100.00,38,46.15,"42,789",-17.31,"42,789",-17.31,752,-
2004M02,"106,518",6.81,"2,469",26.16,-,--,"7,386",-4.93,-,--,-,--,"4,065",-4.69,"10,518",6.11,335,59.52,2,--,"33,856",8.59,"46,832",7.57,"1,039",16.74,16,60.00,"105,465",4.72,"2,392",-37.09,-,--,"6,647",6.56,-,--,-,--,"4,090",7.26,"11,202",-4.58,363,0.55,0,--,"33,872",8.63,"46,836",7.58,0,-100.00,63,320.00,"55,733",12.74,"55,733",12.74,"1,053",-
2004M03,"101,203",-4.87,"4,489",115.20,-,--,"7,139",-13.52,-,--,-,--,"3,994",-8.39,"9,987",-9.88,196,-7.55,1,--,"29,491",-6.93,"44,589",-6.37,"1,304",21.19,13,225.00,"101,715",-5.58,"6,315",40.74,-,--,"6,237",-11.39,-,--,-,--,"3,906",-5.22,"10,879",-12.05,291,-22.19,0,--,"29,485",-6.93,"44,559",-6.43,0,-100.00,43,230.77,"56,808",2.94,"56,808",2.94,-512,-
2004M04,"115,036",10.73,"2,864",95.76,-,--,"9,069",9.04,-,--,-,--,"4,470",3.45,"12,161",12.57,222,-10.48,0,--,"34,515",7.90,"50,475",10.37,"1,249",23.91,11,10.00,"115,902",9.89,"4,914",22.00,-,--,"7,772",9.23,-,--,-,--,"4,487",14.14,"13,128",6.26,541,87.20,1,--,"34,504",7.86,"50,501",10.44,0,-100.00,54,184.21,"61,201",16.18,"61,201",16.18,-866,-
2004M05,"112,879",4.47,"2,707",243.53,-,--,"8,737",-5.58,-,--,-,--,"4,359",-4.51,"11,846",14.27,230,6.98,1,--,"34,489",3.18,"49,694",2.11,814,6.96,2,-81.82,"112,965",2.17,"3,607",-11.14,-,--,"7,735",19.74,-,--,-,--,"4,271",2.50,"12,801",-5.88,360,118.18,0,--,"34,469",3.13,"49,678",2.11,0,-100.00,44,69.23,"63,257",7.43,"63,257",7.43,-86,-
