期間,求職人數-新登記_原始值,求職人數-新登記_年增率(%),求職人數-有效_原始值,求職人數-有效_年增率(%),求才人數-新登記_原始值,求才人數-新登記_年增率(%),求才人數-有效_原始值,求才人數-有效_年增率(%),求供倍數-新登記_原始值,求供倍數-新登記_年增率(%),求供倍數-有效_原始值,求供倍數-有效_年增率(%),求職推介就業人數_原始值,求職推介就業人數_年增率(%),求才僱用人數_原始值,求才僱用人數_年增率(%),求職就業率(%)_原始值,求職就業率(%)_年增率(%),求才利用率(%)_原始值,求才利用率(%)_年增率(%)
2001M10,"52,707",143.79,"83,615",112.78,"41,569",13.98,"60,586",-5.27,0.79,-,0.72,-,"15,486",111.41,"15,486",111.41,29.38,-,37.25,-
2001M11,"46,019",117.03,"88,202",133.78,"34,877",10.24,"58,585",-1.76,0.76,-,0.66,-,"13,008",85.27,"13,008",85.27,28.27,-,37.30,-
2001M12,"36,971",44.94,"75,123",66.77,"31,651",1.10,"53,633",-2.85,0.86,-,0.71,-,"10,238",4.07,"10,238",4.07,27.69,-,32.35,-
2002M01,"37,113",105.91,"70,573",95.92,"34,700",59.72,"57,316",32.21,0.93,-,0.81,-,"9,639",152.33,"9,639",152.33,25.97,-,27.78,-
2002M02,"33,581",-29.80,"66,373",-0.17,"34,460",-37.15,"61,132",-16.56,1.03,-,0.92,-,"12,981",-52.13,"12,981",-52.13,38.66,-,37.67,-
2002M03,"38,964",41.84,"65,451",24.43,"44,367",14.63,"66,698",1.64,1.14,-,1.02,-,"10,798",34.55,"10,798",34.55,27.71,-,24.34,-
2002M04,"36,021",53.88,"71,162",47.97,"43,198",49.17,"79,923",30.73,1.20,-,1.12,-,"10,585",70.04,"10,585",70.04,29.39,-,24.50,-
2002M05,"37,238",-5.39,"70,397",11.65,"42,137",23.01,"77,821",32.61,1.13,-,1.11,-,"10,921",32.96,"10,921",32.96,29.33,-,25.92,-
2002M06,"35,062",5.58,"67,607",-2.13,"32,178",28.05,"65,114",26.28,0.92,-,0.96,-,"8,413",5.37,"8,413",5.37,23.99,-,26.15,-
2002M07,"43,582",12.71,"78,066",11.52,"39,176",39.53,"64,843",38.30,0.90,-,0.83,-,"11,178",25.62,"11,178",25.62,25.65,-,28.53,-
2002M08,"36,901",-13.47,"75,159",-5.01,"37,476",-1.93,"66,900",15.94,1.02,-,0.89,-,"10,596",1.00,"10,596",1.00,28.71,-,28.27,-
2002M09,"31,960",-3.67,"65,725",-7.05,"31,382",13.51,"60,758",8.93,0.98,-,0.92,-,"9,405",8.10,"9,405",8.10,29.43,-,29.97,-
2002M10,"37,018",-29.77,"69,933",-16.36,"39,659",-4.59,"63,680",5.11,1.07,-,0.91,-,"10,431",-32.64,"10,431",-32.64,28.18,-,26.30,-
2002M11,"39,741",-13.64,"73,475",-16.70,"43,259",24.03,"72,645",24.00,1.09,-,0.99,-,"10,935",-15.94,"10,935",-15.94,27.52,-,25.28,-
2002M12,"35,392",-4.27,"64,813",-13.72,"49,896",57.64,"83,218",55.16,1.41,-,1.28,-,"9,831",-3.98,"9,831",-3.98,27.78,-,19.70,-
2003M01,"29,049",-21.73,"59,743",-15.35,"44,331",27.76,"84,416",47.28,1.53,-,1.41,-,"9,059",-6.02,"9,059",-6.02,31.19,-,20.43,-
2003M02,"36,010",7.23,"63,559",-4.24,"55,101",59.90,"91,682",49.97,1.53,-,1.44,-,"12,973",-0.06,"12,973",-0.06,36.03,-,23.54,-
2003M03,"35,936",-7.77,"64,278",-1.79,"66,362",49.58,"108,680",62.94,1.85,-,1.69,-,"10,175",-5.77,"10,175",-5.77,28.31,-,15.33,-
2003M04,"35,812",-0.58,"68,405",-3.87,"63,346",46.64,"118,911",48.78,1.77,-,1.74,-,"11,017",4.08,"11,017",4.08,30.76,-,17.39,-
2003M05,"37,209",-0.08,"69,333",-1.51,"52,892",25.52,"104,255",33.97,1.42,-,1.50,-,"9,540",-12.65,"9,540",-12.65,25.64,-,18.04,-
2003M06,"38,867",10.85,"73,442",8.63,"51,307",59.45,"96,504",48.21,1.32,-,1.31,-,"9,551",13.53,"9,551",13.53,24.57,-,18.62,-
2003M07,"44,146",1.29,"80,768",3.46,"57,867",47.71,"100,633",55.19,1.31,-,1.25,-,"10,925",-2.26,"10,925",-2.26,24.75,-,18.88,-
2003M08,"40,199",8.94,"79,892",6.30,"54,603",45.70,"101,661",51.96,1.36,-,1.27,-,"10,084",-4.83,"10,084",-4.83,25.09,-,18.47,-
2003M09,"38,299",19.83,"74,295",13.04,"63,850",103.46,"112,280",84.80,1.67,-,1.51,-,"10,424",10.83,"10,424",10.83,27.22,-,16.33,-
2003M10,"44,569",20.40,"78,779",12.65,"72,375",82.49,"128,386",101.61,1.62,-,1.63,-,"12,503",19.86,"12,503",19.86,28.05,-,17.28,-
2003M11,"33,610",-15.43,"68,964",-6.14,"65,350",51.07,"123,632",70.19,1.94,-,1.79,-,"10,146",-7.22,"10,146",-7.22,30.19,-,15.53,-
2003M12,"36,373",2.77,"67,034",3.43,"73,362",47.03,"127,460",53.16,2.02,-,1.90,-,"9,832",0.01,"9,832",0.01,27.03,-,13.40,-
2004M01,"29,034",-0.05,"61,325",2.65,"54,439",22.80,"116,744",38.30,1.88,-,1.90,-,"6,936",-23.44,"6,936",-23.44,23.89,-,12.74,-
2004M02,"39,818",10.57,"64,920",2.14,"84,021",52.49,"132,749",44.79,2.11,-,2.04,-,"11,037",-14.92,"11,037",-14.92,27.72,-,13.14,-
2004M03,"39,891",11.01,"75,944",18.15,"71,457",7.68,"144,165",32.65,1.79,-,1.90,-,"13,809",35.71,"13,809",35.71,34.62,-,19.32,-
2004M04,"36,258",1.25,"70,496",3.06,"68,716",8.48,"129,492",8.90,1.90,-,1.84,-,"12,726",15.51,"12,726",15.51,35.10,-,18.52,-
2004M05,"40,049",7.63,"153,715",121.71,"81,568",54.22,"102,319",-1.86,2.04,-,0.67,-,"11,779",23.47,"19,834",107.90,29.41,-,24.32,-
2004M06,"47,766",22.90,"101,360",38.01,"80,056",56.03,"101,503",5.18,1.68,-,1.00,-,"14,529",52.12,"18,094",89.45,30.42,-,22.60,-
2004M07,"51,660",17.02,"112,918",39.81,"83,112",43.63,"108,145",7.46,1.61,-,0.96,-,"21,243",94.44,"28,721",162.89,41.12,-,34.56,-
2004M08,"50,859",26.52,"116,835",46.24,"80,179",46.84,"109,800",8.01,1.58,-,0.94,-,"20,913",107.39,"34,575",242.87,41.12,-,43.12,-
2004M09,"50,545",31.97,"116,592",56.93,"81,759",28.05,"103,823",-7.53,1.62,-,0.89,-,"20,836",99.88,"33,784",224.10,41.22,-,41.32,-
2004M10,"59,783",34.14,"127,308",61.60,"97,256",34.38,"124,945",-2.68,1.63,-,0.98,-,"34,467",175.67,"46,242",269.85,57.65,-,47.55,-
2004M11,"56,696",68.69,"120,751",75.09,"90,197",38.02,"122,828",-0.65,1.59,-,1.02,-,"33,659",231.75,"51,617",408.74,59.37,-,57.23,-
2004M12,"45,386",24.78,"107,279",60.04,"77,158",5.17,"133,973",5.11,1.70,-,1.25,-,"26,461",169.13,"50,573",414.37,58.30,-,65.54,-
2005M01,"35,781",23.24,"93,282",52.11,"73,570",35.14,"123,917",6.14,2.06,-,1.33,-,"18,221",162.70,"37,156",435.70,50.92,-,50.50,-
2005M02,"32,027",-19.57,"84,388",29.99,"54,470",-35.17,"102,220",-23.00,1.70,-,1.21,-,"13,180",19.42,"24,081",118.18,41.15,-,44.21,-
2005M03,"53,306",33.63,"109,481",44.16,"97,955",37.08,"137,122",-4.89,1.84,-,1.25,-,"24,264",75.71,"39,937",189.21,45.52,-,40.77,-
2005M04,"46,936",29.45,"114,615",62.58,"82,138",19.53,"154,244",19.11,1.75,-,1.35,-,"22,686",78.26,"38,889",205.59,48.33,-,47.35,-
2005M05,"49,707",24.12,"124,128",-19.25,"90,443",10.88,"147,501",44.16,1.82,-,1.19,-,"21,961",86.44,"41,154",107.49,44.18,-,45.50,-
2005M06,"53,227",11.43,"129,056",27.32,"85,284",6.53,"152,514",50.26,1.60,-,1.18,-,"23,126",59.17,"46,274",155.74,43.45,-,54.26,-
2005M07,"55,099",6.66,"137,547",21.81,"85,720",3.14,"144,838",33.93,1.56,-,1.05,-,"22,009",3.61,"39,279",36.76,39.94,-,45.82,-
2005M08,"55,995",10.10,"145,511",24.54,"95,744",19.41,"160,357",46.04,1.71,-,1.10,-,"23,555",12.63,"45,039",30.26,42.07,-,47.04,-
2005M09,"58,028",14.80,"151,350",29.81,"90,522",10.72,"162,463",56.48,1.56,-,1.07,-,"27,443",31.71,"49,136",45.44,47.29,-,54.28,-
2005M10,"47,745",-20.14,"142,729",12.11,"85,162",-12.44,"164,933",32.00,1.78,-,1.16,-,"22,713",-34.10,"42,232",-8.67,47.57,-,49.59,-
2005M11,"49,033",-13.52,"141,287",17.01,"89,301",-0.99,"140,152",14.10,1.82,-,0.99,-,"23,601",-29.88,"39,970",-22.56,48.13,-,44.76,-
2005M12,"43,136",-4.96,"131,881",22.93,"77,998",1.09,"115,908",-13.48,1.81,-,0.88,-,"20,644",-21.98,"35,679",-29.45,47.86,-,45.74,-
2006M01,"37,102",3.69,"128,794",38.07,"53,323",-27.52,"114,963",-7.23,1.44,-,0.89,-,"17,247",-5.35,"31,777",-14.48,46.49,-,59.59,-
2006M02,"52,538",64.04,"137,470",62.90,"81,545",49.71,"126,337",23.59,1.55,-,0.92,-,"18,838",42.93,"28,579",18.68,35.86,-,35.05,-
2006M03,"64,096",20.24,"148,984",36.08,"102,071",4.20,"167,614",22.24,1.59,-,1.13,-,"28,970",19.39,"45,092",12.91,45.20,-,44.18,-
2006M04,"59,416",26.59,"157,366",37.30,"86,680",5.53,"161,191",4.50,1.46,-,1.02,-,"25,012",10.25,"41,123",5.74,42.10,-,47.44,-
2006M05,"65,746",32.27,"164,273",32.34,"95,357",5.43,"159,783",8.33,1.45,-,0.97,-,"28,376",29.21,"46,582",13.19,43.16,-,48.85,-
2006M06,"68,369",28.45,"170,683",32.25,"100,436",17.77,"171,405",12.39,1.47,-,1.00,-,"26,585",14.96,"47,993",3.71,38.88,-,47.78,-
2006M07,"69,284",25.74,"180,138",30.96,"82,774",-3.44,"157,066",8.44,1.19,-,0.87,-,"28,259",28.40,"45,059",14.72,40.79,-,54.44,-
2006M08,"74,549",33.14,"187,449",28.82,"99,545",3.97,"162,495",1.33,1.34,-,0.87,-,"30,744",30.52,"48,221",7.06,41.24,-,48.44,-
2006M09,"73,080",25.94,"190,529",25.89,"89,670",-0.94,"161,351",-0.68,1.23,-,0.85,-,"29,643",8.02,"48,292",-1.72,40.56,-,53.86,-
2006M10,"69,159",44.85,"186,724",30.82,"94,426",10.88,"157,952",-4.23,1.37,-,0.85,-,"32,267",42.06,"50,075",18.57,46.66,-,53.03,-
2006M11,"70,353",43.48,"182,952",29.49,"88,638",-0.74,"155,858",11.21,1.26,-,0.85,-,"31,426",33.16,"48,473",21.27,44.67,-,54.69,-
2006M12,"56,988",32.11,"169,755",28.72,"74,125",-4.97,"136,941",18.15,1.30,-,0.81,-,"27,059",31.07,"42,010",17.74,47.48,-,56.67,-
2007M01,"58,003",56.33,"161,143",25.12,"82,900",55.47,"137,707",19.78,1.43,-,0.85,-,"23,744",37.67,"39,765",25.14,40.94,-,47.97,-
2007M02,"42,608",-18.90,"142,330",3.54,"59,924",-26.51,"122,612",-2.95,1.41,-,0.86,-,"15,790",-16.18,"26,241",-8.18,37.06,-,43.79,-
2007M03,"93,426",45.76,"190,555",27.90,"133,139",30.44,"181,846",8.49,1.43,-,0.95,-,"34,663",19.65,"52,178",15.71,37.10,-,39.19,-
2007M04,"75,984",27.88,"198,328",26.03,"106,937",23.37,"203,229",26.08,1.41,-,1.02,-,"32,549",30.13,"41,820",1.69,42.84,-,39.11,-
2007M05,"85,960",30.75,"213,621",30.04,"115,160",20.77,"195,038",22.06,1.34,-,0.91,-,"36,641",29.13,"55,795",19.78,42.63,-,48.45,-
2007M06,"74,630",9.16,"208,725",22.29,"108,174",7.70,"191,351",11.64,1.45,-,0.92,-,"32,232",21.24,"46,393",-3.33,43.19,-,42.89,-
2007M07,"89,913",29.77,"225,459",25.16,"99,489",20.19,"181,835",15.77,1.11,-,0.81,-,"36,275",28.37,"53,256",18.19,40.34,-,53.53,-
2007M08,"82,261",10.34,"224,096",19.55,"99,676",0.13,"171,207",5.36,1.21,-,0.76,-,"34,577",12.47,"46,868",-2.81,42.03,-,47.02,-
2007M09,"74,103",1.40,"219,597",15.26,"89,728",0.06,"164,756",2.11,1.21,-,0.75,-,"31,213",5.30,"39,688",-17.82,42.12,-,44.23,-
2007M10,"83,088",20.14,"219,145",17.36,"100,245",6.16,"169,542",7.34,1.21,-,0.77,-,"35,366",9.60,"46,263",-7.61,42.56,-,46.15,-
2007M11,"75,593",7.45,"213,498",16.70,"97,117",9.57,"170,372",9.31,1.28,-,0.80,-,"35,196",12.00,"44,916",-7.34,46.56,-,46.25,-
2007M12,"69,094",21.24,"200,840",18.31,"77,556",4.63,"149,559",9.21,1.12,-,0.74,-,"30,669",13.34,"39,255",-6.56,44.39,-,50.62,-
2008M01,"65,345",12.66,"191,578",18.89,"79,131",-4.55,"135,255",-1.78,1.21,-,0.71,-,"28,244",18.95,"36,595",-7.97,43.22,-,46.25,-
2008M02,"70,204",64.77,"191,332",34.43,"93,108",55.38,"152,332",24.24,1.33,-,0.80,-,"24,325",54.05,"33,559",27.89,34.65,-,36.04,-
2008M03,"92,043",-1.48,"218,614",14.72,"98,533",-25.99,"169,555",-6.76,1.07,-,0.78,-,"37,154",7.19,"46,618",-10.66,40.37,-,47.31,-
2008M04,"83,983",10.53,"227,929",14.93,"83,564",-21.86,"154,287",-24.08,1.00,-,0.68,-,"38,752",19.06,"47,945",14.65,46.14,-,57.38,-
2008M05,"91,146",6.03,"241,285",12.95,"83,668",-27.35,"143,737",-26.30,0.92,-,0.60,-,"41,395",12.97,"54,298",-2.68,45.42,-,64.90,-
2008M06,"91,066",22.02,"239,727",14.85,"96,255",-11.02,"153,172",-19.95,1.06,-,0.64,-,"39,954",23.96,"50,040",7.86,43.87,-,51.99,-
2008M07,"98,929",10.03,"251,999",11.77,"78,942",-20.65,"140,615",-22.67,0.80,-,0.56,-,"39,468",8.80,"56,180",5.49,39.90,-,71.17,-
2008M08,"102,697",24.84,"252,645",12.74,"80,783",-18.95,"133,548",-22.00,0.79,-,0.53,-,"41,489",19.99,"50,253",7.22,40.40,-,62.21,-
2008M09,"100,569",35.72,"253,901",15.62,"79,466",-11.44,"132,488",-19.59,0.79,-,0.52,-,"39,004",24.96,"53,224",34.11,38.78,-,66.98,-
2008M10,"111,175",33.80,"277,794",26.76,"76,382",-23.80,"129,384",-23.69,0.69,-,0.47,-,"37,334",5.56,"55,360",19.66,33.58,-,72.48,-
2008M11,"112,547",48.89,"290,532",36.08,"71,292",-26.59,"116,956",-31.35,0.63,-,0.40,-,"31,209",-11.33,"48,577",8.15,27.73,-,68.14,-
2008M12,"128,094",85.39,"332,806",65.71,"77,002",-0.71,"117,336",-21.55,0.60,-,0.35,-,"34,526",12.58,"46,945",19.59,26.95,-,60.97,-
2009M01,"83,952",28.48,"311,223",62.45,"55,131",-30.33,"98,272",-27.34,0.66,-,0.32,-,"24,075",-14.76,"30,387",-16.96,28.68,-,55.12,-
2009M02,"145,936",107.87,"359,990",88.15,"87,936",-5.55,"124,082",-18.55,0.60,-,0.34,-,"32,124",32.06,"41,580",23.90,22.01,-,47.28,-
2009M03,"130,050",41.29,"401,008",83.43,"92,536",-6.09,"148,149",-12.62,0.71,-,0.37,-,"43,307",16.56,"55,808",19.71,33.30,-,60.31,-
2009M04,"120,670",43.68,"434,125",90.47,"126,720",51.64,"180,879",17.24,1.05,-,0.42,-,"45,561",17.57,"61,744",28.78,37.76,-,48.72,-
