期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
1980M06,86,17.39,50,51.49,36,-11.03,3,-51.25,22,23.24,1,-42.75,3,35.70,0,--,0,-88.19,0,-55.12,5,-27.56
1980M07,104,0.20,69,0.45,35,-0.27,5,5.30,21,6.81,3,-27.83,2,-13.18,0,-50.00,0,-82.19,0,-100.00,4,61.02
1980M08,110,7.36,67,1.12,43,18.75,7,106.72,22,6.14,2,-20.05,5,132.32,0,--,0,-81.58,0,-100.00,5,20.22
1980M09,90,-2.84,57,8.68,33,-17.93,4,-35.06,20,-9.57,2,3.13,3,17.92,0,-100.00,0,-98.29,0,-20.68,3,3.21
1980M10,83,8.92,50,9.97,33,7.34,4,-28.07,19,34.94,2,-23.75,3,-38.83,0,-68.48,1,--,0,-44.08,4,21.48
1980M11,79,1.25,38,-16.65,41,26.97,5,2.17,22,35.89,2,115.18,4,40.22,0,-2.29,1,290.91,0,-100.00,5,-1.36
1980M12,84,4.13,39,-8.48,45,18.41,7,6.43,25,16.92,3,60.15,5,59.92,0,-100.00,0,-30.23,0,--,5,16.88
1981M01,65,3.00,33,5.06,32,0.92,5,-30.31,18,10.84,1,56.39,3,-0.34,0,-50.87,0,54.55,0,--,3,-4.50
1981M02,95,31.25,41,19.36,54,42.14,7,28.69,33,62.63,0,-80.79,7,70.07,0,--,0,-65.87,1,--,5,13.44
1981M03,72,5.58,31,-8.63,41,20.05,7,54.14,23,33.59,3,-9.19,4,60.77,0,--,0,-62.27,0,--,3,-47.47
1981M04,57,-5.97,27,-3.87,30,-7.81,6,32.31,18,3.88,1,137.46,1,-9.84,0,-100.00,0,108.70,0,--,3,-66.11
1981M05,67,-14.21,25,-9.76,42,-16.68,6,-22.06,22,-12.92,3,-16.24,5,21.99,1,-22.56,0,-35.87,0,--,5,-42.65
1981M06,90,4.78,43,-14.29,47,31.84,8,173.57,25,9.90,1,-19.38,6,110.70,0,--,1,170.90,0,-100.00,6,4.11
1981M07,103,-0.91,66,-4.56,37,6.23,7,32.46,21,0.90,1,-50.17,2,7.52,0,-100.00,1,258.05,0,--,5,24.08
1981M08,123,11.41,74,10.70,49,12.52,8,8.67,27,20.90,3,41.25,5,-3.29,0,-22.20,0,0.00,0,--,5,-17.11
1981M09,114,26.79,70,22.38,44,34.44,7,59.05,24,23.81,2,16.43,6,65.51,0,--,0,530.77,0,-65.33,5,44.89
1981M10,118,41.86,65,28.77,53,61.98,9,136.24,28,49.37,2,30.91,4,50.45,0,-63.46,0,-66.49,0,-100.00,9,110.03
1981M11,107,34.67,51,32.11,56,37.09,14,148.78,26,19.20,2,-24.73,4,-12.28,1,40.52,0,-100.00,1,--,9,64.80
1981M12,91,8.43,41,4.90,50,11.51,13,95.40,26,3.67,2,-49.09,2,-52.72,0,--,0,-30.79,0,--,6,28.50
1982M01,94,44.58,41,22.53,53,67.63,10,97.81,24,29.38,3,164.12,8,140.68,0,114.16,1,203.78,0,-39.17,8,130.89
1982M02,111,16.86,44,6.31,67,24.98,15,103.99,31,-6.66,4,708.22,10,39.01,0,77.45,1,412.68,0,-79.81,6,21.01
1982M03,89,24.00,34,7.50,56,36.77,14,104.42,26,11.11,2,-2.44,7,57.24,0,-100.00,1,273.49,0,-27.79,6,82.47
1982M04,101,78.02,32,19.36,68,131.58,17,176.84,30,69.71,2,41.36,9,587.99,0,--,1,161.11,0,--,9,254.53
1982M05,134,99.98,44,73.02,91,116.13,23,260.86,38,73.32,4,40.29,12,122.60,1,-24.76,1,685.31,1,--,11,148.09
1982M06,136,50.62,54,25.80,81,73.51,17,98.29,40,61.78,3,126.36,10,66.06,0,-100.00,0,-100.00,0,--,12,116.07
1982M07,155,50.92,85,28.88,71,89.67,16,147.29,34,61.45,2,56.10,9,304.09,0,--,0,-62.31,0,--,9,74.39
1982M08,186,51.60,91,22.74,95,95.76,24,195.84,41,51.71,6,103.84,11,120.19,0,-38.74,0,-41.40,0,-49.76,13,182.26
1982M09,188,64.58,90,28.49,98,121.57,25,250.87,44,79.04,5,170.01,12,117.75,0,--,0,-31.40,0,136.36,11,129.43
1982M10,195,65.60,81,25.36,114,114.79,34,255.95,41,45.92,3,34.45,18,335.32,2,"3,501.75",1,199.69,1,--,15,66.56
1982M11,194,82.22,73,44.45,121,116.56,34,152.84,48,84.65,3,44.09,16,317.23,1,-15.50,1,--,0,-80.48,19,111.47
1982M12,199,118.50,65,56.90,135,169.16,38,182.16,42,61.18,5,231.24,23,937.44,0,-25.86,3,"1,073.23",0,--,24,274.31
1983M01,198,110.53,65,59.63,133,149.45,38,291.80,43,82.33,4,40.06,21,166.12,1,147.52,1,54.77,0,-5.40,25,212.07
1983M02,247,121.65,63,43.28,184,172.95,51,230.76,64,107.96,4,16.72,34,254.57,1,542.54,1,-13.60,0,333.65,28,341.69
1983M03,205,129.57,58,71.93,147,164.67,36,161.63,58,127.56,5,116.77,26,295.64,0,--,2,246.61,0,71.48,18,194.48
1983M04,183,81.54,54,67.05,129,88.36,32,90.97,53,74.51,5,130.42,16,68.68,1,--,1,92.42,1,--,21,117.51
1983M05,171,27.55,45,3.73,126,38.97,28,20.61,54,43.92,8,86.15,14,22.02,1,30.91,2,53.96,0,-70.20,19,65.96
1983M06,180,32.78,70,28.07,110,35.94,21,24.10,51,29.10,6,126.24,12,26.68,1,--,1,--,0,6.62,18,43.79
1983M07,212,36.20,101,19.36,111,56.31,19,16.18,55,62.78,6,172.59,16,80.78,1,25.00,1,137.16,0,--,13,45.67
1983M08,215,15.62,102,11.58,113,19.50,20,-16.97,56,38.01,5,-15.99,18,64.83,1,205.39,2,702.75,0,-100.00,12,-4.98
1983M09,198,5.10,95,5.43,103,4.81,17,-32.50,48,9.74,4,-28.48,17,44.16,1,98.78,2,845.78,0,-0.35,14,21.59
1983M10,206,5.76,92,13.36,114,0.34,23,-29.93,50,22.86,5,86.47,18,-3.07,0,-83.68,1,-17.41,1,58.27,15,4.26
1983M11,176,-9.49,71,-3.07,105,-13.39,28,-19.53,48,0.57,4,62.93,11,-28.22,1,35.90,1,49.02,0,-100.00,12,-38.54
1983M12,170,-14.79,56,-13.29,114,-15.51,25,-34.60,48,13.99,5,-14.55,20,-10.33,1,373.67,1,-69.73,0,-35.16,14,-39.78
1984M01,177,-10.97,59,-10.18,118,-11.35,26,-31.97,43,-0.28,5,21.80,20,-5.01,0,-24.21,1,3.31,1,136.50,22,-11.49
1984M02,206,-16.55,62,-0.99,143,-21.90,25,-50.59,65,2.39,4,-14.18,26,-23.76,0,-60.36,1,-33.47,1,56.10,22,-23.34
1984M03,154,-24.89,56,-3.09,98,-33.52,16,-56.68,51,-13.09,3,-44.32,15,-43.42,0,11.40,2,-11.82,0,-13.83,11,-39.53
1984M04,146,-19.88,50,-7.26,97,-25.14,18,-42.21,52,-1.82,3,-28.38,13,-15.54,1,-23.06,2,16.38,0,-100.00,7,-63.65
1984M05,156,-9.21,43,-4.35,112,-10.96,21,-24.76,55,0.83,7,-13.04,13,-6.09,1,67.36,2,-2.60,0,-74.80,13,-30.12
1984M06,167,-7.49,61,-12.12,105,-4.57,14,-32.01,54,5.40,4,-21.84,16,26.79,3,77.42,2,113.38,0,-68.95,12,-29.66
1984M07,192,-9.46,96,-4.45,95,-14.03,16,-12.93,48,-13.17,5,-26.55,13,-20.61,1,-16.36,1,-44.92,0,-27.93,13,-2.42
1984M08,228,5.95,102,0.26,126,11.05,22,9.48,59,3.81,7,31.89,20,12.57,1,95.51,2,-13.94,0,--,16,32.84
1984M09,228,15.18,102,8.06,125,21.73,24,40.96,60,26.18,7,67.29,17,0.02,1,-13.86,1,-56.39,0,-65.26,15,13.59
1984M10,209,1.15,79,-14.54,130,13.80,24,1.65,66,30.57,5,-4.83,20,11.43,0,-100.00,2,105.27,0,-65.59,14,-9.88
1984M11,170,-3.24,70,-1.13,100,-4.67,20,-28.94,51,6.83,2,-46.17,11,-4.99,0,-35.99,1,-53.75,0,--,15,25.21
1984M12,168,-1.40,60,6.37,108,-5.23,22,-9.80,45,-4.67,4,-11.19,19,-7.16,0,-76.93,1,-19.51,1,111.62,16,10.72
1985M01,156,-11.63,53,-9.54,103,-12.66,28,8.58,40,-7.69,4,-24.39,15,-21.94,1,14.54,1,-45.50,0,-23.79,14,-35.12
1985M02,165,-20.04,56,-10.15,109,-24.35,35,41.59,42,-35.91,4,-0.63,13,-48.94,0,-66.59,1,-11.83,0,-100.00,14,-37.13
1985M03,187,21.48,54,-4.70,134,36.58,44,178.83,57,11.46,3,1.19,16,4.14,1,177.69,1,-71.87,0,3.95,13,17.81
1985M04,172,17.17,50,0.18,122,25.96,38,104.19,50,-2.89,4,8.91,18,31.17,1,57.35,1,-54.22,0,--,11,47.04
1985M05,194,24.93,46,5.56,149,32.38,47,124.52,62,13.03,8,9.09,18,39.19,0,-87.39,1,-65.02,0,217.46,12,-6.78
1985M06,193,15.89,57,-7.45,136,29.44,42,197.00,56,3.14,8,71.86,16,1.67,1,-79.42,0,-77.38,0,240.00,14,11.28
1985M07,267,39.10,105,9.03,161,69.56,66,304.36,58,21.81,6,31.53,13,-1.83,0,-38.54,2,170.52,1,348.13,17,29.71
1985M08,315,38.06,117,15.13,197,56.62,79,263.69,69,17.65,5,-20.85,24,21.39,0,-73.40,1,-7.10,0,-100.00,18,11.88
1985M09,276,21.22,106,3.30,170,35.88,76,220.52,59,-1.52,4,-44.01,14,-17.44,0,-66.51,1,-4.63,0,214.14,15,-0.31
1985M10,265,26.92,87,10.72,178,36.72,70,192.17,66,0.02,4,-26.82,19,-5.12,0,--,1,-41.44,0,-100.00,19,36.17
1985M11,252,48.18,84,19.21,168,68.57,66,237.97,55,7.04,3,49.46,22,110.76,1,68.71,1,46.04,1,283.55,18,24.97
1985M12,227,35.54,81,35.35,146,35.64,58,158.98,50,10.63,5,14.70,17,-10.72,2,444.63,1,51.38,1,-2.33,14,-13.32
1986M01,200,28.43,64,20.12,137,32.69,58,105.09,47,18.14,4,-0.64,14,-7.58,1,185.19,2,164.76,0,-22.36,10,-27.53
1986M02,261,58.70,66,17.00,196,80.27,69,96.16,70,66.56,6,71.85,34,151.57,1,253.25,2,185.50,0,--,14,4.28
1986M03,216,15.20,62,15.27,154,15.17,50,13.45,63,11.81,4,49.11,20,30.45,1,-13.99,2,330.39,0,-26.62,13,0.23
1986M04,182,5.82,52,4.04,130,6.56,34,-9.79,56,12.20,4,-4.35,20,11.56,1,-20.33,1,60.96,0,--,14,30.68
1986M05,182,-6.23,49,7.30,133,-10.38,40,-15.47,52,-16.07,5,-31.87,14,-23.20,0,193.42,2,211.88,1,187.00,19,55.20
1986M06,215,11.35,75,32.81,140,2.45,40,-5.83,60,7.54,6,-20.41,18,13.12,0,-34.63,1,193.89,0,43.03,14,1.72
1986M07,237,-10.95,99,-5.50,138,-14.50,37,-43.07,62,5.97,9,47.18,15,21.85,1,138.59,0,-82.86,0,-51.05,14,-17.23
1986M08,250,-20.68,107,-8.60,142,-27.85,36,-55.04,67,-3.37,6,20.38,19,-21.57,1,108.95,1,-60.54,1,--,13,-27.24
1986M09,236,-14.62,93,-12.17,143,-16.14,31,-58.55,67,13.07,6,73.01,22,52.35,0,27.40,1,-25.20,0,29.26,15,-6.07
1986M10,211,-20.48,82,-6.37,129,-27.40,30,-57.26,63,-4.58,6,58.08,17,-9.47,0,-100.00,1,-30.79,1,--,12,-34.41
1986M11,188,-25.56,68,-19.26,120,-28.69,25,-62.67,60,9.42,5,37.22,17,-26.28,1,-10.35,0,-77.65,0,-73.42,13,-30.80
1986M12,162,-28.78,64,-20.63,98,-33.27,24,-59.06,48,-4.83,5,2.05,11,-33.66,1,-20.81,0,-63.69,0,-42.25,8,-39.16
1987M01,158,-21.26,60,-5.28,98,-28.68,24,-58.33,48,2.68,4,4.27,9,-40.36,2,2.76,2,20.26,1,132.07,8,-18.62
1987M02,193,-26.11,59,-9.88,134,-31.56,30,-56.19,69,-0.65,4,-42.52,17,-49.95,1,146.88,2,-19.17,1,591.25,10,-30.13
1987M03,163,-24.52,48,-23.05,115,-25.12,24,-52.12,66,3.94,5,3.60,11,-47.24,1,5.60,1,-47.47,1,91.16,8,-40.09
1987M04,137,-24.40,40,-22.35,97,-25.22,23,-32.13,51,-9.41,4,18.80,11,-43.53,0,-72.87,1,-28.93,0,--,6,-55.98
1987M05,156,-14.13,48,-2.54,109,-18.38,24,-40.19,50,-4.20,7,20.72,11,-23.28,0,-32.06,2,11.43,0,-28.05,15,-20.87
1987M06,143,-33.36,56,-24.92,87,-37.91,15,-62.98,45,-24.22,4,-36.42,11,-37.69,0,30.59,0,-84.99,1,12.99,10,-25.41
1987M07,167,-29.66,74,-25.56,93,-32.61,13,-64.88,57,-8.11,3,-60.95,10,-35.11,0,-100.00,0,68.40,0,-31.34,9,-31.92
1987M08,172,-30.91,68,-36.86,105,-26.42,22,-38.72,63,-6.12,3,-56.37,8,-58.75,0,-100.00,1,30.98,1,-11.52,9,-34.73
1987M09,170,-27.73,69,-25.41,101,-29.25,24,-23.54,55,-18.45,2,-75.82,8,-61.59,0,-100.00,0,-47.13,1,61.94,11,-22.32
1987M10,166,-21.05,68,-16.41,98,-23.98,21,-28.79,51,-18.56,2,-64.95,10,-39.67,0,--,0,-67.87,0,-100.00,13,6.69
1987M11,153,-18.33,53,-21.92,100,-16.30,23,-6.70,56,-6.24,3,-39.68,8,-52.03,1,31.03,1,745.66,0,-37.66,8,-39.72
1987M12,151,-6.78,51,-19.93,99,1.84,23,-1.73,49,1.62,4,-17.80,7,-36.21,1,-25.76,1,96.49,1,99.12,14,70.92
1988M01,146,-7.16,50,-16.57,96,-1.36,24,-1.87,47,-3.01,4,15.44,9,8.82,1,-25.46,1,-46.56,1,27.52,9,3.76
1988M02,139,-28.22,46,-21.49,92,-31.19,19,-39.04,48,-30.85,4,24.02,9,-47.66,1,-19.73,1,-26.60,1,-39.78,10,-2.80
1988M03,145,-11.25,40,-15.95,105,-9.30,19,-20.03,60,-9.29,5,16.08,9,-14.23,0,-79.19,1,-52.20,1,24.72,10,28.21
1988M04,129,-6.41,36,-11.54,93,-4.27,14,-38.22,55,7.54,6,41.82,7,-36.17,0,-100.00,1,-33.11,1,399.17,9,40.61
1988M05,141,-10.02,41,-14.82,100,-7.92,17,-30.88,56,13.48,6,-4.84,7,-34.90,1,178.88,1,-73.13,1,121.55,12,-22.49
1988M06,149,3.95,67,17.94,82,-5.15,15,5.14,50,9.72,3,-16.81,4,-65.57,0,-5.86,0,52.48,1,121.65,8,-22.08
1988M07,160,-4.06,72,-3.24,89,-4.72,17,26.61,48,-14.93,4,17.05,10,-3.12,0,--,0,4.64,0,-26.56,9,-0.91
1988M08,156,-9.47,67,-0.57,89,-15.21,18,-17.01,47,-24.62,4,57.32,10,23.45,1,--,1,8.99,0,-100.00,8,-3.09
1988M09,134,-21.17,58,-16.02,76,-24.70,13,-47.94,46,-16.46,2,14.42,6,-30.17,0,--,1,123.43,1,30.26,8,-26.62
1988M10,130,-22.18,49,-28.77,81,-17.59,17,-20.60,48,-6.78,4,80.42,6,-38.67,0,-100.00,1,251.64,0,--,5,-59.59
1988M11,125,-18.19,44,-16.04,81,-19.32,15,-33.69,47,-16.74,2,-13.59,7,-14.07,0,-59.38,1,-35.34,0,-100.00,8,7.47
1988M12,118,-21.45,42,-19.06,77,-22.69,12,-46.51,44,-9.04,2,-56.60,7,4.03,0,-100.00,1,62.76,0,-44.59,10,-32.93
1989M01,113,-22.65,34,-33.32,80,-17.09,17,-26.53,43,-8.55,2,-50.58,6,-37.27,0,-61.27,1,-49.53,0,-55.19,10,16.08
1989M02,157,13.35,38,-18.12,119,29.23,24,29.13,70,47.35,4,-4.28,12,34.71,1,-26.07,0,-67.04,0,-100.00,7,-22.69
1989M03,122,-15.41,36,-11.37,87,-16.96,18,-3.42,51,-14.08,4,-25.68,4,-52.27,1,411.00,1,-8.33,0,-100.00,7,-25.62
1989M04,109,-15.19,31,-13.60,78,-15.81,15,4.07,46,-16.33,2,-71.35,6,-8.87,0,--,0,-64.75,0,-81.63,8,-5.40
1989M05,126,-10.84,26,-35.82,99,-0.71,16,-4.73,62,9.19,4,-29.73,6,-17.70,1,-23.43,1,58.00,0,-72.46,10,-12.73
1989M06,140,-6.13,55,-16.85,84,2.54,13,-15.89,54,8.18,3,-16.88,6,64.17,1,50.00,1,377.92,0,-73.38,6,-24.57
1989M07,148,-7.87,76,5.60,72,-18.76,12,-30.51,41,-15.00,3,-26.18,7,-25.29,1,31.59,0,4.43,1,363.28,8,-17.80
1989M08,159,2.09,69,1.90,91,2.23,15,-17.12,57,19.92,3,-29.66,7,-22.47,0,-41.32,1,-26.52,0,--,7,-9.50
1989M09,145,7.69,58,-0.01,86,13.59,20,57.37,49,7.62,2,-1.70,5,-18.38,0,-39.08,1,82.86,0,-100.00,9,13.14
1989M10,124,-4.08,43,-10.85,81,-0.01,20,19.02,45,-6.35,3,-14.42,5,-11.36,0,--,0,-66.09,0,-68.92,7,27.08
1989M11,122,-2.62,47,5.00,76,-6.78,22,43.25,37,-21.26,2,-11.86,6,-14.20,0,1.69,0,-59.73,0,--,8,-6.69
1989M12,114,-3.60,40,-3.38,74,-3.72,20,60.19,38,-14.77,2,30.66,5,-25.94,1,--,1,-22.81,1,87.97,7,-31.88
1990M01,109,-4.11,34,2.84,74,-7.03,22,27.76,35,-19.03,3,32.93,5,-18.82,0,-100.00,0,-75.79,1,90.16,9,-15.22
1990M02,133,-15.52,34,-9.60,98,-17.41,20,-17.99,60,-15.26,4,-0.57,5,-55.66,0,-100.00,0,-23.79,0,--,9,24.70
1990M03,126,2.74,36,1.01,90,3.44,17,-8.49,54,6.14,3,-35.72,5,18.18,1,-47.55,1,71.40,0,--,9,25.25
1990M04,109,0.43,30,-1.79,79,1.30,16,8.20,46,-0.76,2,39.06,5,-24.25,0,-0.90,0,25.96,1,238.46,9,5.58
1990M05,123,-2.17,27,2.07,96,-3.28,21,34.92,52,-15.46,5,7.09,5,-16.41,1,71.10,0,-81.70,0,62.70,12,14.78
1990M06,140,-0.14,56,1.57,83,-1.25,21,63.54,44,-18.29,1,-45.10,5,-17.19,1,-6.61,1,-57.07,0,-10.39,10,61.41
1990M07,166,12.71,73,-3.43,93,29.66,22,92.70,54,32.75,2,-37.57,6,-23.03,0,-36.29,0,-50.91,0,-49.63,8,11.24
1990M08,181,13.34,75,9.49,106,16.25,25,68.54,56,-1.05,3,4.61,9,18.04,1,189.46,0,-24.35,0,-9.28,11,42.33
1990M09,169,16.93,68,17.09,101,16.82,31,54.99,50,1.31,3,80.59,9,78.76,1,500.00,0,-68.32,0,--,7,-21.46
1990M10,147,18.28,50,14.95,97,20.06,31,52.39,50,12.02,3,-20.98,6,1.73,0,-23.12,1,197.24,0,-100.00,7,9.35
1990M11,154,25.77,45,-2.26,108,43.04,37,68.81,52,40.36,3,22.88,8,31.01,0,-44.88,0,-14.96,0,-100.00,8,7.60
1990M12,129,13.28,39,-3.98,91,22.62,27,38.06,48,26.48,2,-8.92,4,-29.35,0,-28.15,1,-29.14,1,23.19,8,19.70
1991M01,116,6.38,35,1.22,81,8.77,23,1.25,43,24.10,1,-56.60,6,31.63,0,--,1,546.56,0,-85.24,6,-24.84
1991M02,114,-14.19,32,-6.99,82,-16.71,26,33.59,39,-34.75,2,-61.19,9,72.28,0,--,1,80.25,0,--,5,-44.47
1991M03,117,-6.94,29,-18.03,88,-2.51,25,47.25,43,-21.31,2,-30.96,8,62.45,1,49.07,0,-57.57,1,96.48,8,-11.46
1991M04,119,8.76,33,7.65,86,9.18,26,60.43,42,-6.76,3,27.67,7,49.47,0,-14.03,0,-100.00,0,-73.13,7,-17.20
1991M05,122,-0.29,24,-9.86,98,2.36,23,9.30,50,-3.95,5,4.57,8,62.24,0,-67.57,0,207.55,0,-100.00,12,-0.53
1991M06,117,-16.05,34,-38.95,83,-0.61,19,-11.58,45,2.02,5,231.06,5,-2.54,0,-67.76,0,-25.79,0,6.52,8,-16.90
1991M07,158,-5.09,64,-12.02,94,0.33,22,-3.18,50,-7.67,4,141.46,7,18.24,0,16.32,0,32.92,1,50.61,10,14.56
1991M08,155,-14.36,64,-14.22,90,-14.46,18,-28.03,50,-10.95,2,-44.67,12,39.38,0,-84.84,0,-100.00,0,4.62,8,-27.10
1991M09,154,-8.87,58,-14.46,96,-5.10,15,-50.48,57,14.48,3,11.74,10,14.10,1,-49.42,0,-100.00,1,--,8,14.34
1991M10,135,-8.39,50,1.07,84,-13.24,17,-45.16,48,-2.96,2,-6.39,7,33.71,1,223.43,0,-100.00,1,--,8,1.63
1991M11,129,-16.19,44,-2.44,84,-21.97,18,-51.11,47,-9.35,2,-22.12,7,-5.79,0,-100.00,1,155.25,1,--,8,-0.09
1991M12,121,-6.54,43,10.96,78,-13.96,19,-29.02,39,-18.88,4,88.65,5,34.24,0,-100.00,0,-57.45,0,-100.00,11,37.46
1992M01,119,3.03,46,30.68,73,-8.92,19,-17.59,34,-21.39,2,67.01,10,54.15,1,89.18,0,-100.00,1,632.85,8,22.78
1992M02,133,16.90,34,7.80,99,20.45,18,-31.25,54,39.61,2,27.47,18,100.42,1,290.30,0,-100.00,1,229.13,5,-7.73
1992M03,119,1.85,34,16.77,85,-3.17,14,-43.30,51,18.56,3,72.64,9,11.42,0,-56.82,0,-100.00,0,-100.00,7,-10.48
1992M04,115,-3.47,33,2.54,81,-5.74,13,-49.03,50,18.15,4,30.04,5,-28.59,0,-100.00,0,--,0,101.99,9,17.20
1992M05,122,-0.53,36,51.69,85,-13.25,17,-27.25,48,-4.23,5,-7.56,5,-36.85,1,91.36,0,-100.00,0,--,10,-11.53
1992M06,134,14.63,56,62.09,79,-5.04,17,-10.32,42,-7.08,4,-14.74,6,7.89,0,104.59,0,-10.45,0,64.29,9,11.03
1992M07,154,-2.16,66,3.46,88,-6.01,14,-33.53,53,5.46,4,-7.89,7,2.73,0,7.91,1,64.40,1,50.16,8,-15.52
1992M08,171,10.30,65,0.26,106,17.47,17,-5.00,62,23.59,5,172.28,9,-23.68,0,-100.00,1,--,0,-61.51,12,48.73
1992M09,152,-1.51,59,1.94,92,-3.60,20,29.08,50,-12.94,5,36.22,6,-37.31,0,-10.29,1,--,0,-76.45,11,27.66
1992M10,137,1.92,49,-3.37,89,5.08,18,6.78,48,-0.29,4,60.51,6,-13.85,0,-53.51,1,--,0,-60.37,11,40.80
