期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
2011M10,"158,218",11.55,"2,520","2,497.94",718,-9.69,185,-41.08,"147,450",8.46,"2,465",-,-,-,-,-,"2,311",67.71,-,-,-,-,-,-,"8,457",87.52,55,-43.30,718,-6.14,185,-41.08,0.41,-,1.25,-,-,-,0.10,-,0.75,-,-,-
2011M11,"164,693",14.85,125,89.39,934,30.63,506,192.49,"151,909",10.08,46,-,-,-,-,-,"2,427",131.81,30,-,-,-,-,-,"10,357",137.71,49,-25.76,934,33.05,506,192.49,0.45,-,0.70,-,-,-,0.07,-,0.65,-,-,-
2011M12,"164,226",1.21,216,116.00,871,10.25,426,22.41,"151,633",-2.78,127,-,-,-,-,-,"2,990",74.96,-,-,45,200.00,-,-,"9,603",109.49,89,-11.00,826,6.58,426,22.41,0.50,-,0.56,-,-,-,0.05,-,0.23,-,-,-
2012M01,"120,097",-19.12,43,-68.15,766,3.93,102,-31.08,"103,570",-26.69,-,-,-,-,-,-,"8,649",436.87,-,-,-,-,-,-,"7,878",40.88,43,-62.61,766,4.79,102,-31.08,0.42,-,-,-,-,-,0.03,-,-,-,-,-
2012M02,"138,401",28.66,61,-15.28,755,8.48,266,-2.21,"128,552",25.53,18,-,-,-,-,-,"1,482",60.22,-,-,-,-,-,-,"8,367",97.38,43,-8.51,755,8.48,266,-2.21,0.34,-,0.25,-,-,-,0.04,-,0.24,-,-,-
2012M03,"169,677",-4.61,51,-43.33,800,-2.91,345,155.56,"157,084",-8.63,18,-,-,-,-,-,"2,252",65.71,-,-,-,-,-,-,"10,341",125.84,33,-63.33,800,-1.84,345,155.56,0.37,-,0.22,-,-,-,0.04,-,0.22,-,-,-
2012M04,"159,023",7.48,20,-75.90,762,-1.80,345,-26.91,"149,784",6.36,-,-,-,-,-,-,746,-66.35,-,-,-,-,-,-,"8,493",73.01,20,-75.90,762,-0.91,345,-26.91,0.36,-,-,-,-,-,0.09,-,-,-,-,-
2012M05,"172,979",14.39,63,-43.75,721,-6.85,431,3.86,"161,536",13.26,18,-,-,-,-,-,"2,761",2.18,-,-,-,-,-,-,"8,682",47.20,45,-59.82,721,-6.49,431,3.86,0.36,-,0.24,-,-,-,0.03,-,0.23,-,-,-
2012M06,"164,561",3.48,18,-83.93,636,-18.88,59,-85.14,"152,128",1.82,14,-,-,-,-,-,"3,337",-0.39,-,-,-,-,-,-,"9,097",45.37,4,-96.43,636,-18.88,59,-85.14,0.85,-,0.24,-,-,-,0.08,-,0.24,-,-,-
2012M07,"162,653",8.65,1,-98.84,774,-5.38,347,-26.64,"150,816",6.76,-,-,4,-,-,-,"2,702",19.14,-,-,-,-,-,-,"9,135",47.98,1,-98.84,770,-5.87,347,-26.64,0.36,-,-,-,0.08,-,0.07,-,-,-,0.08,-
2012M08,"161,387",2.73,11,-84.29,693,-14.76,200,21.21,"147,520",-0.58,-,-,-,-,-,-,"4,148",185.67,-,-,-,-,-,-,"9,719",33.70,11,-84.29,693,-4.15,200,21.21,0.58,-,-,-,-,-,0.08,-,-,-,-,-
2012M09,"145,131",-2.18,5,-99.31,695,-8.31,288,25.22,"132,350",-4.38,-,-,-,-,-,-,"3,027",35.86,-,-,-,-,-,-,"9,754",26.43,5,-92.19,695,-8.31,288,25.22,0.31,-,-,-,-,-,0.05,-,-,-,-,-
2012M10,"134,668",-14.88,10,-99.60,720,0.28,314,69.73,"123,204",-16.44,-,-,-,-,-,-,"1,718",-25.66,-,-,-,-,-,-,"9,746",15.24,10,-81.82,720,0.28,314,69.73,0.31,-,-,-,-,-,0.07,-,-,-,-,-
2012M11,"128,097",-22.22,6,-95.20,695,-25.59,155,-69.37,"117,201",-22.85,-,-,-,-,-,-,"2,396",-1.28,-,-,-,-,-,-,"8,500",-17.93,6,-87.76,695,-25.59,155,-69.37,0.33,-,-,-,-,-,0.07,-,-,-,-,-
2012M12,"136,271",-17.02,21,-90.28,699,-19.75,165,-61.27,"123,653",-18.45,20,-84.25,-,-,-,-,"3,717",24.31,-,-,10,-77.78,-,-,"8,901",-7.31,1,-98.88,689,-16.59,165,-61.27,0.60,-,0.10,-,-,-,0.05,-,0.10,-,-,-
2013M01,"155,999",29.89,7,-83.72,801,4.57,259,153.92,"144,458",39.48,-,-,-,-,-,-,"2,359",-72.73,-,-,39,-,-,-,"9,182",16.55,7,-83.72,762,-0.52,259,153.92,0.35,-,-,-,-,-,0.09,-,-,-,-,-
2013M02,"94,762",-31.53,2,-96.72,546,-27.68,487,83.08,"83,771",-34.83,-,-,-,-,-,-,"3,732",151.82,-,-,-,-,-,-,"7,259",-13.24,2,-95.35,546,-27.68,487,83.08,0.40,-,-,-,-,-,0.09,-,-,-,-,-
2013M03,"143,610",-15.36,-,-,694,-13.25,"1,104",220.00,"131,873",-16.05,-,-,-,-,-,-,"2,333",3.60,-,-,6,-,-,-,"9,404",-9.06,-,-,688,-14.00,"1,104",220.00,0.65,-,-,-,-,-,0.09,-,-,-,-,-
2013M04,"123,636",-22.25,20,0.00,741,-2.76,"1,045",202.90,"112,473",-24.91,-,-,-,-,-,-,"1,256",68.36,-,-,-,-,-,-,"9,907",16.65,20,0.00,741,-2.76,"1,045",202.90,0.55,-,-,-,-,-,0.10,-,-,-,-,-
2013M05,"104,741",-39.45,21,-66.67,"1,345",86.55,"1,851",329.47,"92,555",-42.70,-,-,12,-,-,-,"1,527",-44.69,-,-,564,-,-,-,"10,659",22.77,21,-53.33,769,6.66,"1,851",329.47,3.20,-,-,-,0.20,-,0.12,-,-,-,0.15,-
2013M06,"108,052",-34.34,37,105.56,830,30.50,"1,559","2,542.37","95,747",-37.06,-,-,129,-,-,-,"1,725",-48.31,-,-,-,-,-,-,"10,580",16.30,37,825.00,701,10.22,"1,559","2,542.37",0.72,-,-,-,0.15,-,0.12,-,-,-,0.11,-
2013M07,"115,175",-29.19,46,"4,500.00","1,014",31.01,"1,773",410.95,"103,122",-31.62,-,-,188,"4,600.00",-,-,"1,881",-30.38,-,-,42,-,-,-,"10,172",11.35,46,"4,500.00",784,1.82,"1,773",410.95,0.33,-,-,-,0.16,-,0.10,-,-,-,0.10,-
2013M08,"95,866",-40.60,36,227.27,939,35.50,"1,359",579.50,"84,068",-43.01,-,-,90,-,-,-,"1,459",-64.83,-,-,133,-,-,-,"10,339",6.38,36,227.27,716,3.32,"1,359",579.50,0.36,-,-,-,0.16,-,0.09,-,-,-,0.10,-
2013M09,"85,754",-40.91,59,"1,080.00",843,21.29,"1,481",414.24,"73,418",-44.53,4,-,98,-,-,-,"2,100",-30.62,-,-,5,-,-,-,"10,236",4.94,55,"1,000.00",740,6.47,"1,481",414.24,0.50,-,0.18,-,0.17,-,0.08,-,0.18,-,0.12,-
2013M10,"101,565",-24.58,65,550.00,"2,250",212.50,"1,509",380.57,"87,825",-28.72,-,-,995,-,-,-,"2,850",65.89,-,-,26,-,-,-,"10,890",11.74,65,550.00,"1,229",70.69,"1,509",380.57,0.51,-,-,-,0.28,-,0.08,-,-,-,0.07,-
2013M11,"90,856",-29.07,56,833.33,"1,813",160.86,"1,209",680.00,"79,238",-32.39,-,-,46,-,-,-,"2,316",-3.34,-,-,-,-,-,-,"9,302",9.44,56,833.33,"1,767",154.24,"1,209",680.00,0.40,-,-,-,0.14,-,0.09,-,-,-,0.08,-
2013M12,"113,990",-16.35,270,"1,185.71","1,300",85.98,"1,667",910.30,"100,853",-18.44,-,-,80,-,-,-,"2,229",-40.03,-,-,7,-30.00,-,-,"10,908",22.55,270,"26,900.00","1,212",75.91,"1,667",910.30,1.15,-,-,-,0.23,-,0.08,-,-,-,0.12,-
2014M01,"118,390",-24.11,143,"1,942.86","1,029",28.46,"1,887",628.57,"105,137",-27.22,28,-,88,-,-,-,"2,729",15.68,-,-,-,-,-,-,"10,524",14.62,115,"1,542.86",941,23.49,"1,887",628.57,1.35,-,0.20,-,0.25,-,0.08,-,0.15,-,0.08,-
2014M02,"110,313",16.41,95,"4,650.00",915,67.58,"1,553",218.89,"99,956",19.32,-,-,72,-,-,-,748,-79.96,-,-,6,-,-,-,"9,609",32.37,95,"4,650.00",837,53.30,"1,553",218.89,1.05,-,-,-,0.20,-,0.09,-,-,-,0.12,-
2014M03,"128,257",-10.69,128,-,"1,259",81.41,"2,359",113.68,"116,212",-11.88,5,-,372,-,-,-,"3,066",31.42,8,-,54,800.00,-,-,"8,979",-4.52,115,-,833,21.08,"2,359",113.68,1.48,-,0.30,-,0.17,-,0.08,-,0.30,-,0.13,-
2014M04,"126,606",2.40,115,475.00,"1,160",56.55,"2,444",133.88,"112,110",-0.32,-,-,91,-,-,-,"2,751",119.03,5,-,2,-,-,-,"11,745",18.55,110,450.00,"1,067",43.99,"2,444",133.88,1.15,-,-,-,0.15,-,0.09,-,-,-,0.15,-
2014M05,"116,211",10.95,129,514.29,887,-34.05,"2,509",35.55,"100,605",8.70,9,-,78,550.00,-,-,"5,536",262.54,20,-,43,-92.38,-,-,"10,070",-5.53,100,376.19,766,-0.39,"2,509",35.55,1.01,-,0.35,-,0.20,-,0.08,-,0.20,-,0.12,-
2014M06,"116,676",7.98,202,445.95,962,15.90,"2,563",64.40,"101,154",5.65,-,-,289,124.03,-,-,"5,662",228.23,-,-,39,-,-,-,"9,861",-6.80,202,445.95,634,-9.56,"2,563",64.40,0.60,-,-,-,0.50,-,0.08,-,-,-,0.12,-
2014M07,"124,438",8.04,60,30.43,966,-4.73,"3,513",98.14,"107,285",4.04,-,-,166,-11.70,-,-,"7,590",303.51,7,-,113,169.05,-,-,"9,563",-5.99,53,15.22,687,-12.37,"3,513",98.14,0.33,...,-,...,0.14,...,0.07,...,-,...,0.12,...
