期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
2011M01,"75,000",7.14,"161,009",114.67,"4,248,289",7.12,"75,000",7.14,"149,009",112.86,"4,113,582",7.42,-,-,"12,000",140.00,"134,707",-1.21
2011M02,"70,000",-12.50,5,150.00,"4,318,284",6.73,"70,000",-12.50,-,-,"4,183,582",7.01,-,-,5,150.00,"134,702",-1.21
2011M03,"40,000",0.00,"15,009","750,350.00","4,343,275",6.30,"40,000",0.00,"14,997",-,"4,208,585",6.56,-,-,12,500.00,"134,690",-1.22
2011M04,"70,000",0.00,3,-,"4,413,272",6.19,"70,000",0.00,3,-,"4,278,582",6.44,-,-,-,-,"134,690",-1.22
2011M05,"60,000",50.00,"9,864","986,300.00","4,463,408",6.37,"60,000",50.00,5,400.00,"4,338,577",6.87,-,-,"9,859",-,"124,831",-8.45
2011M06,"40,000",-20.95,61,-99.88,"4,503,347",7.31,"40,000",0.00,4,-99.99,"4,378,573",8.12,-,-,57,"5,600.00","124,774",-15.09
2011M07,"30,000",-25.00,"73,880",5.48,"4,459,467",7.03,"30,000",-25.00,"64,002",-8.62,"4,344,571",8.08,-,-,"9,878",-,"114,896",-21.82
2011M08,"60,000",50.00,"29,988",200.93,"4,489,479",6.98,"60,000",50.00,"29,909",200.53,"4,374,662",8.03,-,-,79,507.69,"114,817",-21.86
2011M09,"35,000",-12.50,78,-99.22,"4,524,401",7.05,"35,000",-12.50,55,-99.45,"4,409,607",8.09,-,-,23,-,"114,794",-21.88
2011M10,"52,450",31.13,"40,008","249,950.00","4,536,843",6.33,"40,000",0.00,"40,002","333,250.00","4,409,605",7.04,"12,450",-,6,50.00,"127,238",-13.41
2011M11,"65,000",33.47,10,-99.50,"4,601,833",6.69,"65,000",62.50,7,-99.65,"4,474,598",7.62,-,-,3,-,"127,235",-18.25
2011M12,"42,550",-39.21,26,-99.95,"4,644,357",7.15,"35,000",-50.00,20,-99.95,"4,509,578",7.69,"7,550",-,6,-99.93,"134,779",-8.13
2012M01,"80,000",6.67,"109,965",-31.70,"4,614,392",8.62,"80,000",6.67,"109,965",-26.20,"4,479,613",8.90,-,-,-,-,"134,779",0.05
2012M02,"65,000",-7.14,"40,024","800,380.00","4,639,368",7.44,"65,000",-7.14,"40,007",-,"4,504,606",7.67,-,-,17,240.00,"134,762",0.04
2012M03,"80,000",100.00,"79,973",432.83,"4,639,395",6.82,"80,000",100.00,"79,972",433.25,"4,504,634",7.03,-,-,1,-91.67,"134,761",0.05
2012M04,"80,000",14.29,8,166.67,"4,719,387",6.94,"80,000",14.29,7,133.33,"4,584,627",7.15,-,-,1,-,"134,760",0.05
2012M05,"65,000",8.33,20,-99.80,"4,784,367",7.19,"65,000",8.33,5,0.00,"4,649,622",7.17,-,-,15,-99.85,"134,745",7.94
2012M06,"40,000",0.00,6,-90.16,"4,824,361",7.13,"40,000",0.00,6,50.00,"4,689,616",7.10,-,-,-,-,"134,745",7.99
2012M07,"30,000",0.00,"50,000",-32.32,"4,804,361",7.73,"30,000",0.00,"50,000",-21.88,"4,669,616",7.48,-,-,-,-,"134,745",17.28
2012M08,"60,000",0.00,-,-,"4,864,361",8.35,"60,000",0.00,-,-,"4,729,616",8.11,-,-,-,-,"134,745",17.36
2012M09,"35,000",0.00,"30,009","38,373.08","4,869,352",7.62,"35,000",0.00,"30,005","54,454.55","4,734,611",7.37,-,-,4,-82.61,"134,741",17.38
2012M10,"30,000",-42.80,"28,262",-29.36,"4,871,090",7.37,"30,000",-25.00,"28,261",-29.35,"4,736,350",7.41,-,-,1,-83.33,"134,740",5.90
2012M11,"72,500",11.54,10,0.00,"4,943,580",7.43,"60,000",-7.69,10,42.86,"4,796,340",7.19,"12,500",-,-,-,"147,240",15.72
2012M12,"50,900",19.62,"60,012","230,715.38","4,934,468",6.25,"40,000",14.29,"60,000","299,900.00","4,776,340",5.92,"10,900",44.37,12,100.00,"158,128",17.32
2013M01,"120,000",50.00,"75,094",-31.71,"4,979,374",7.91,"120,000",50.00,"75,003",-31.79,"4,821,337",7.63,-,-,91,-,"158,037",17.26
2013M02,"75,000",15.38,"70,000",74.90,"4,984,374",7.44,"75,000",15.38,"70,000",74.97,"4,826,337",7.14,-,-,-,-,"158,037",17.27
2013M03,"80,000",0.00,"70,001",-12.47,"4,994,373",7.65,"80,000",0.00,"70,000",-12.47,"4,836,337",7.36,-,-,1,0.00,"158,036",17.27
2013M04,"70,000",-12.50,"6,706","83,725.00","5,057,667",7.17,"70,000",-12.50,6,-14.29,"4,906,331",7.02,-,-,"6,700","669,900.00","151,336",12.30
2013M05,"28,903",-55.53,-,-,"5,086,570",6.32,"28,903",-55.53,-,-,"4,935,234",6.14,-,-,-,-,"151,336",12.31
2013M06,"35,000",-12.50,2,-66.67,"5,121,568",6.16,"35,000",-12.50,-,-,"4,970,234",5.98,-,-,2,-,"151,334",12.31
2013M07,"42,001",40.00,"60,002",20.00,"5,103,567",6.23,"42,001",40.00,"60,000",20.00,"4,952,235",6.05,-,-,2,-,"151,332",12.31
2013M08,"26,302",-56.16,1,-,"5,129,868",5.46,"26,302",-56.16,-,-,"4,978,537",5.26,-,-,1,-,"151,331",12.31
2013M09,"40,000",14.29,"50,000",66.62,"5,119,868",5.14,"40,000",14.29,"40,000",33.31,"4,978,537",5.15,-,-,"10,000","249,900.00","141,331",4.89
2013M10,"59,651",98.84,1,-100.00,"5,179,518",6.33,"59,651",98.84,-,-,"5,038,188",6.37,-,-,1,0.00,"141,330",4.89
2013M11,"30,000",-58.62,1,-90.00,"5,209,517",5.38,"30,000",-50.00,-,-,"5,068,188",5.67,-,-,1,-,"141,329",-4.01
2013M12,"35,000",-31.24,"35,001",-41.68,"5,209,516",5.57,"35,000",-12.50,"35,000",-41.67,"5,068,188",6.11,-,-,1,-91.67,"141,328",-10.62
2014M01,"100,102",-16.58,"80,000",6.53,"5,229,618",5.03,"100,102",-16.58,"80,000",6.66,"5,088,290",5.54,-,-,-,-,"141,328",-10.57
2014M02,"70,000",-6.67,"30,001",-57.14,"5,269,617",5.72,"70,000",-6.67,"30,000",-57.14,"5,128,290",6.26,-,-,1,-,"141,327",-10.57
2014M03,"40,000",-50.00,"89,977",28.54,"5,219,640",4.51,"40,000",-50.00,"75,001",7.14,"5,093,289",5.31,-,-,"14,976","1,497,500.00","126,351",-20.05
2014M04,"35,000",-50.00,-,-,"5,254,640",3.89,"35,000",-50.00,-,-,"5,128,289",4.52,-,-,-,-,"126,351",-16.51
2014M05,"60,000",107.59,"8,301",-,"5,306,339",4.32,"60,000",107.59,1,-,"5,188,288",5.13,-,-,"8,300",-,"118,051",-21.99
2014M06,"72,854",108.15,2,0.00,"5,379,191",5.03,"72,854",108.15,-,-,"5,261,142",5.85,-,-,2,0.00,"118,049",-21.99
2014M07,"70,000",66.66,"78,994",31.65,"5,370,197",5.22,"70,000",66.66,"70,000",16.67,"5,261,142",6.24,-,-,"8,994","449,600.00","109,055",-27.94
